RWJC_x;RWJC_y;RWJC_z;REJC_x;REJC_y;REJC_z;RGHJC_x;RGHJC_y;RGHJC_z
-514.8481;240.6718;920.172;-486.0175;338.6352;1142.673;210.8434;237.9359;1851.8053
-514.7939;240.7794;920.119;-485.9764;338.6996;1142.6502;210.7593;237.6926;1851.8612
-514.7404;240.8962;920.0522;-485.938;338.754;1142.6235;210.6723;237.5273;1851.9275
-514.6829;240.9865;919.9968;-485.9017;338.8021;1142.5935;210.6234;237.3964;1851.958
-514.6273;241.0698;919.9571;-485.8601;338.8419;1142.5642;210.5597;237.2675;1852.0051
-514.5669;241.1359;919.9239;-485.8181;338.8726;1142.5419;210.5189;237.2332;1852.0562
-514.5105;241.2071;919.8717;-485.7776;338.8944;1142.5116;210.4797;237.1356;1852.0884
-514.4459;241.2773;919.801;-485.7302;338.907;1142.4668;210.4345;237.0571;1852.1154
-514.3936;241.3327;919.7532;-485.6842;338.9096;1142.4246;210.6858;236.8126;1851.8404
-514.3438;241.3675;919.7178;-485.6358;338.8886;1142.3761;210.7723;236.7534;1851.7525
-514.2918;241.3935;919.6599;-485.5798;338.8778;1142.3303;210.7386;236.6118;1851.7744
-514.2296;241.415;919.6007;-485.5228;338.8874;1142.2879;210.6236;236.3814;1851.8553
-514.1828;241.428;919.5603;-485.4683;338.8836;1142.243;210.5099;236.2006;1851.9463
-514.1237;241.4347;919.49;-485.4316;338.8463;1142.2003;210.3924;236.3259;1852.087
-514.0136;241.3224;919.4494;-485.3979;338.8132;1142.1696;210.2835;236.3664;1852.2176
-513.9353;241.2372;919.4306;-485.3636;338.7831;1142.1407;210.1799;236.3248;1852.33
-513.8584;241.1452;919.409;-485.3353;338.755;1142.1167;210.1205;236.2725;1852.3989
-513.7924;241.0571;919.3936;-485.3166;338.7292;1142.0934;210.0143;236.3409;1852.5185
-513.7318;240.9786;919.3742;-485.3025;338.7027;1142.07;209.926;236.4231;1852.6193
-513.6751;240.8978;919.3554;-485.295;338.6718;1142.0448;209.8684;236.5402;1852.6947
-513.62;240.8116;919.3366;-485.2895;338.6441;1142.0238;209.8037;236.6723;1852.7766
-513.5692;240.7295;919.3266;-485.2835;338.6138;1142.0029;209.6833;236.8303;1852.9195
-513.5279;240.6465;919.3071;-485.2781;338.5872;1141.9822;209.5699;236.9384;1853.0441
-513.4953;240.565;919.2853;-485.2717;338.549;1141.9581;209.4939;237.0623;1853.1294
-513.4655;240.4798;919.2559;-485.272;338.4972;1141.9341;209.4253;237.0228;1853.1819
-513.4334;240.3995;919.2269;-485.271;338.4417;1141.9124;209.3995;236.9802;1853.1985
-513.4013;240.3197;919.2036;-485.2684;338.3511;1141.8882;209.4958;236.3836;1852.9898
-513.369;240.232;919.1855;-485.2621;338.258;1141.8551;209.4729;236.0019;1852.9264
-513.3471;240.1417;919.1617;-485.2614;338.1591;1141.816;209.3964;235.8716;1852.9433
-513.3326;240.0475;919.1284;-485.2673;338.0561;1141.7738;209.3706;235.8783;1852.9296
-513.3203;239.9454;919.0962;-485.2755;337.9587;1141.7347;209.3516;235.8959;1852.9151
-513.311;239.8444;919.0627;-485.2905;337.8555;1141.6915;209.3205;235.9025;1852.902
-513.3014;239.7489;919.0378;-485.3045;337.7578;1141.6542;209.2556;235.9702;1852.938
-513.302;239.6453;919.0226;-485.3194;337.662;1141.6162;209.168;235.9798;1852.9807
-513.3038;239.5481;918.9976;-485.3397;337.571;1141.583;209.0874;235.9958;1853.0189
-513.3068;239.4435;918.9793;-485.3585;337.4909;1141.5537;208.9511;235.8549;1853.0888
-513.3098;239.3425;918.9645;-485.3752;337.4149;1141.521;208.8507;235.7093;1853.1236
-513.3095;239.2427;918.9511;-485.3953;337.344;1141.4932;208.7696;235.476;1853.1299
-513.3204;239.1424;918.9515;-485.4167;337.2836;1141.4756;208.6847;235.2986;1853.1533
-513.3313;239.0289;918.9657;-485.4468;337.2266;1141.4645;208.6293;235.1849;1853.1578
-513.3355;238.9237;918.9365;-485.4773;337.1675;1141.4511;208.5299;235.0263;1853.1935
-513.3443;238.8229;918.9173;-485.5137;337.1062;1141.4355;208.4476;234.9081;1853.2111
-513.3585;238.7303;918.9074;-485.5486;337.0463;1141.4229;208.3514;234.8256;1853.2539
-513.3815;238.6466;918.9002;-485.5905;336.9782;1141.4142;208.2807;234.7681;1853.2733
-513.4049;238.5665;918.8845;-485.6303;336.9063;1141.393;208.1631;234.8044;1853.3385
-513.4308;238.4963;918.8575;-485.6678;336.8376;1141.3758;208.0641;234.7214;1853.3755
-513.466;238.4466;918.832;-485.7051;336.7731;1141.3631;207.9676;234.5536;1853.4059
-513.4997;238.4026;918.8118;-485.7381;336.7073;1141.349;207.8866;234.4464;1853.4311
-513.5385;238.3737;918.7821;-485.7745;336.6381;1141.3325;207.8051;234.3424;1853.4543
-513.5847;238.3582;918.7537;-485.8109;336.569;1141.3126;207.7361;234.2191;1853.458
-513.6452;238.3392;918.7578;-485.8493;336.494;1141.2824;207.6948;234.157;1853.4326
-513.6976;238.3257;918.743;-485.8962;336.4166;1141.2568;207.6873;233.9935;1853.3607
-513.7431;238.3358;918.7204;-485.9536;336.3417;1141.2478;207.7153;233.7425;1853.2507
-513.7921;238.3299;918.7165;-486.0174;336.259;1141.2349;207.6599;233.5991;1853.2251
-513.8292;238.3365;918.6883;-486.1007;336.1715;1141.2422;207.7196;233.4884;1853.1027
-513.8608;238.3255;918.6639;-486.1975;336.0719;1141.2509;207.7126;233.5031;1853.0511
-513.8803;238.3277;918.6248;-486.2994;335.9658;1141.2731;207.6256;233.6227;1853.0915
-513.892;238.3082;918.6138;-486.4167;335.847;1141.3186;207.5406;233.8824;1853.1646
-513.895;238.2235;918.6123;-486.5363;335.7319;1141.3771;207.4853;234.2313;1853.2281
-513.8887;238.1198;918.6008;-486.6719;335.5944;1141.4476;207.5047;234.8185;1853.2603
-513.8849;238.0282;918.5679;-486.8106;335.4459;1141.528;207.4949;235.361;1853.3191
-513.9047;237.9292;918.5857;-486.9499;335.2916;1141.6153;207.4971;236.0309;1853.3967
-513.9447;237.8461;918.6242;-487.0864;335.1347;1141.7053;207.4141;236.7104;1853.5572
-513.995;237.7396;918.6711;-487.2211;334.9832;1141.7975;207.2507;237.5493;1853.8203
-514.0585;237.61;918.7198;-487.3723;334.8264;1141.8918;207.1184;238.377;1854.0391
-514.1339;237.4784;918.7789;-487.5154;334.6755;1141.9942;206.9267;239.2307;1854.3285
-514.2026;237.381;918.8752;-487.6632;334.5234;1142.0855;206.7481;240.1811;1854.5957
-514.2961;237.2662;918.957;-487.8189;334.3672;1142.1556;206.5198;241.071;1854.876
-514.404;237.0846;919.0499;-487.9739;334.2133;1142.2073;206.2871;242.007;1855.1418
-514.5254;236.9108;919.1424;-488.1281;334.0889;1142.254;206.0211;242.7116;1855.3956
-514.6914;236.7169;919.2429;-488.2978;333.9818;1142.303;205.7587;243.3458;1855.6216
-514.893;236.4784;919.3594;-488.4838;333.8619;1142.3508;205.538;243.8996;1855.7833
-515.1063;236.2217;919.48;-488.6973;333.7411;1142.4129;205.4068;244.3378;1855.8366
-515.3248;235.9569;919.5897;-488.9095;333.6233;1142.4764;205.3043;244.8317;1855.8704
-515.5622;235.655;919.7273;-489.1217;333.4945;1142.5253;205.1297;245.3843;1855.9606
-515.8233;235.3555;919.8495;-489.351;333.3506;1142.5902;205.1315;245.9286;1855.8892
-516.099;235.0672;920.0152;-489.5944;333.1874;1142.6701;205.2131;246.4488;1855.7411
-516.3776;234.7435;920.1679;-489.8311;333.0086;1142.7656;205.3713;246.9452;1855.5376
-516.6886;234.4351;920.312;-490.0638;332.8229;1142.8707;205.4694;247.5184;1855.4117
-516.9782;234.0837;920.4639;-490.2902;332.6343;1142.9692;205.5075;248.0757;1855.3372
-517.2317;233.8086;920.5982;-490.5282;332.423;1143.0676;205.5971;248.4441;1855.182
-517.5326;233.5117;920.771;-490.7795;332.2022;1143.1737;205.7483;248.6032;1854.9379
-517.8438;233.189;920.9279;-491.0209;331.9873;1143.287;205.8738;248.6989;1854.7248
-518.1538;232.8751;921.0874;-491.2602;331.7554;1143.3982;206.0071;249.0928;1854.5479
-518.4829;232.5494;921.2707;-491.5124;331.5007;1143.5164;206.2081;249.4713;1854.3063
-518.7859;232.2184;921.4002;-491.7514;331.2477;1143.6152;206.3;249.8953;1854.1567
-519.1143;231.8821;921.5834;-492.0201;330.9722;1143.7429;206.4862;250.3668;1853.9343
-519.4627;231.5606;921.7693;-492.2941;330.6937;1143.8762;206.5818;250.7992;1853.7899
-519.8016;231.2703;921.9573;-492.5526;330.4338;1144.0076;206.6755;251.1467;1853.6314
-520.1028;230.9361;922.125;-492.8093;330.1685;1144.1627;206.777;251.6111;1853.5069
-520.4021;230.5807;922.2765;-493.0691;329.8995;1144.3138;206.8769;252.1912;1853.3993
-520.6964;230.2395;922.414;-493.3466;329.6458;1144.4955;206.9943;252.6644;1853.275
-521.0012;229.9189;922.5903;-493.6218;329.4037;1144.6799;207.0065;253.086;1853.2357
-521.3314;229.5601;922.8268;-493.883;329.1632;1144.8481;206.9703;253.6006;1853.2442
-521.6557;229.2187;923.0636;-494.1415;328.9407;1145.0721;207.0337;253.915;1853.2077
-521.9755;228.9001;923.3013;-494.4007;328.7291;1145.227;207.0032;254.185;1853.1683
-522.3151;228.5552;923.5436;-494.6721;328.5179;1145.4083;207.0307;254.4664;1853.0952
-522.6508;228.1986;923.8064;-494.9531;328.3258;1145.588;207.0255;254.765;1853.0459
-522.9746;227.8639;924.0357;-495.2288;328.1321;1145.7375;206.9251;255.0752;1853.0537
-523.3216;227.496;924.3087;-495.5107;327.9365;1145.9187;206.8982;255.519;1853.0455
-523.6664;227.1403;924.5802;-495.7923;327.7645;1146.0655;206.8079;255.7738;1853.0211
-524.0071;226.8129;924.839;-496.0955;327.6055;1146.2718;206.8219;256.0611;1852.9611
-524.3361;226.5135;925.0583;-496.3994;327.4314;1146.4279;206.8307;256.3839;1852.8531
-524.6842;226.2116;925.3065;-496.6845;327.2654;1146.6013;206.8454;256.624;1852.7671
-525.0302;225.9048;925.5315;-496.9599;327.1189;1146.7562;206.7869;256.7806;1852.7275
-525.3776;225.6168;925.7638;-497.2551;326.9762;1146.9024;206.7879;257.0659;1852.6097
-525.7462;225.3709;926.0063;-497.5525;326.8241;1147.06;206.8667;257.2244;1852.4237
-526.1054;225.116;926.2317;-497.844;326.6646;1147.227;206.9912;257.3421;1852.2087
-526.4445;224.8724;926.4256;-498.1444;326.5115;1147.4563;207.2943;256.96;1851.8123
-526.7846;224.6434;926.6322;-498.4088;326.3581;1147.6107;207.3437;256.9437;1851.6438
-527.1409;224.4471;926.8413;-498.6676;326.2086;1147.7452;207.2913;256.9829;1851.561
-527.5036;224.2426;927.0812;-498.9195;326.0776;1147.8885;207.2269;257.0048;1851.5068
-527.8709;224.07;927.3115;-499.1897;325.9207;1148.0879;207.3692;257.1782;1851.3328
-528.2202;223.9273;927.4838;-499.4399;325.8115;1148.2176;207.3288;257.3207;1851.2645
-528.563;223.7953;927.6438;-499.6738;325.7395;1148.3914;207.295;257.5392;1851.2526
-528.8961;223.6649;927.8078;-499.9216;325.6709;1148.5607;207.283;257.6829;1851.2006
-529.244;223.5591;927.9888;-500.1682;325.6206;1148.7261;207.2533;257.7381;1851.1504
-529.5978;223.48;928.1558;-500.4049;325.5516;1148.8726;207.2022;257.9784;1851.1388
-529.9628;223.3947;928.3756;-500.654;325.4962;1149.0173;207.1965;258.2753;1851.0791
-530.3038;223.2998;928.553;-500.8826;325.5088;1149.1598;207.1074;258.3291;1851.0723
-530.6485;223.2294;928.7368;-501.127;325.5137;1149.3039;207.0911;258.3854;1850.9895
-530.9745;223.1731;928.8947;-501.3663;325.521;1149.4373;207.0756;258.5969;1850.914
-531.324;223.1484;929.0563;-501.6141;325.5106;1149.6053;207.24;258.5839;1850.6828
-531.6562;223.1215;929.2302;-501.8459;325.4957;1149.7528;207.2798;258.7352;1850.5784
-531.9817;223.0987;929.4179;-502.067;325.5072;1149.8864;207.3018;258.6452;1850.4523
-532.2927;223.0913;929.5848;-502.2663;325.5481;1150.0053;207.2504;258.4501;1850.377
