RWJC_x;RWJC_y;RWJC_z;REJC_x;REJC_y;REJC_z;RGHJC_x;RGHJC_y;RGHJC_z
-507.2662;271.1483;920.9053;-477.6768;365.1451;1144.7387;462.6584;918.1018;511.3734
-507.4836;271.1097;920.9411;-477.9193;365.1209;1144.7968;463.3364;918.2955;512.469
-507.7227;271.068;921.0021;-478.18;365.0798;1144.8578;463.8746;918.3163;513.2846
-507.9682;271.0246;921.0331;-478.447;365.0314;1144.9093;464.6209;918.3129;514.3011
-508.2458;270.9342;921.0834;-478.7224;364.9682;1144.9445;465.4419;918.0752;515.2058
-508.5638;270.8053;921.1545;-479.0047;364.8881;1144.9807;466.1702;917.8187;516.0154
-508.8913;270.6735;921.2111;-479.3104;364.7935;1145.0229;466.7275;917.5483;516.6592
-509.2377;270.5316;921.2576;-479.6414;364.6806;1145.0747;467.1604;917.2818;517.2002
-509.5839;270.3753;921.3077;-479.9721;364.5601;1145.1237;467.9663;916.7846;517.9605
-509.964;270.1453;921.4894;-480.3037;364.4374;1145.1759;469.0521;916.1875;518.9547
-510.3513;269.9391;921.634;-480.6374;364.3116;1145.2364;470.175;915.5628;519.9844
-510.7371;269.731;921.7466;-480.9864;364.187;1145.3012;471.1688;915.2815;521.1839
-511.129;269.5237;921.8495;-481.3393;364.0519;1145.3762;472.2337;914.7967;522.3192
-511.5183;269.2932;921.9538;-481.6883;363.9141;1145.4329;473.4794;914.0787;523.4436
-511.8992;269.0486;922.072;-482.0388;363.7785;1145.4849;474.6506;913.5338;524.6345
-512.2799;268.8114;922.1938;-482.404;363.6451;1145.5347;475.7388;913.1481;525.8833
-512.6575;268.536;922.3115;-482.7613;363.5041;1145.5909;476.538;912.943;526.9669
-513.0332;268.2702;922.411;-483.1056;363.3602;1145.6515;477.2701;912.7099;527.95
-513.3897;267.9891;922.49;-483.4326;363.2131;1145.6924;478.2135;912.2488;528.9639
-513.755;267.7006;922.5656;-483.7518;363.0641;1145.7157;479.3404;911.415;529.8665
-514.1018;267.4146;922.645;-484.0737;362.9036;1145.7213;480.1022;910.7319;530.4694
-514.4316;267.1497;922.7013;-484.3936;362.7416;1145.7313;480.3667;910.396;530.8021
-514.7597;266.8654;922.7789;-484.6967;362.5714;1145.7263;480.7693;909.9866;531.2072
-515.0557;266.5754;922.8198;-484.9814;362.4124;1145.7285;481.1876;909.6454;531.6884
-515.3485;266.2996;922.878;-485.2596;362.2457;1145.7209;481.5229;909.1971;531.9837
-515.6073;266.0156;922.9423;-485.5158;362.0872;1145.7037;482.0543;908.5135;532.2893
-515.8487;265.7386;923.0073;-485.7548;361.9293;1145.6824;482.2762;908.0676;532.4414
-516.0686;265.4665;923.0339;-485.9965;361.7699;1145.6583;482.253;908.0079;532.6208
-516.2664;265.1926;923.0554;-486.2341;361.6199;1145.6451;482.1021;907.8194;532.5468
-516.4414;264.9385;923.0594;-486.4631;361.4906;1145.6293;481.7695;907.7474;532.3501
-516.5936;264.6798;923.0918;-486.6751;361.3694;1145.5963;481.1964;908.0559;532.1614
-516.7189;264.445;923.1071;-486.8689;361.2571;1145.5485;480.7153;908.2085;531.9184
-516.8256;264.2348;923.0978;-487.0577;361.1515;1145.4888;480.2078;908.419;531.6666
-516.9191;264.0382;923.1029;-487.2403;361.0588;1145.4291;479.4417;908.7506;531.2114
-516.9756;263.846;923.028;-487.4049;360.9863;1145.3649;478.5794;909.1501;530.6871
-517.0321;263.6771;923.003;-487.5519;360.9371;1145.2974;477.5948;909.6688;530.0902
-517.0485;263.5189;922.9348;-487.6834;360.8984;1145.2181;476.6384;910.1705;529.5093
-517.051;263.3587;922.8783;-487.8079;360.8668;1145.1245;475.7321;910.6328;528.8886
-517.0321;263.2163;922.7936;-487.9266;360.8347;1145.0205;474.4843;911.411;528.1741
-516.9915;263.1256;922.6873;-488.0256;360.825;1144.9289;473.3697;912.231;527.6149
-516.9433;263.0482;922.604;-488.1262;360.8166;1144.8315;472.1302;913.1655;527.0206
-516.8803;262.9974;922.5048;-488.2171;360.815;1144.7372;470.8899;913.9781;526.3001
-516.8035;262.9791;922.4064;-488.2871;360.8202;1144.6397;469.677;914.9123;525.7003
-516.7201;262.9922;922.3189;-488.35;360.8383;1144.5454;468.3884;915.9898;525.1393
-516.6254;263.0268;922.218;-488.4147;360.8611;1144.4559;466.9736;917.2306;524.5567
-516.5195;263.0879;922.0928;-488.4635;360.9051;1144.3672;465.4767;918.6545;524.0325
-516.4071;263.1509;921.9695;-488.5062;360.9612;1144.2842;463.9762;919.9684;523.4178
-516.3116;263.2294;921.8973;-488.5532;361.0225;1144.1907;462.229;921.4548;522.6728
-516.1997;263.3273;921.7635;-488.5981;361.095;1144.1004;460.7673;922.8454;522.1256
-516.0877;263.4367;921.647;-488.6591;361.169;1144.0178;458.8575;924.4679;521.3552
-515.965;263.5473;921.4735;-488.7159;361.2569;1143.9495;457.3389;926.0252;520.9424
-515.8508;263.6948;921.3087;-488.8014;361.3274;1143.878;455.4224;927.8171;520.3184
-515.7562;263.854;921.1906;-488.871;361.4135;1143.8153;453.8931;929.4548;519.9738
-515.6595;264.0197;921.0669;-488.9509;361.4962;1143.747;452.3999;931.1581;519.7279
-515.5625;264.1948;920.9432;-489.0267;361.582;1143.6773;450.971;932.8046;519.517
-515.4712;264.3764;920.8121;-489.1056;361.6651;1143.5941;449.6105;934.4601;519.3929
-515.3789;264.5588;920.6205;-489.192;361.7447;1143.5103;448.3868;936.0503;519.3527
-515.2969;264.7394;920.4071;-489.2838;361.8264;1143.4313;447.2463;937.5348;519.3394
-515.2312;264.919;920.2437;-489.38;361.9012;1143.3525;446.1592;938.9337;519.3171
-515.1918;265.0736;920.1395;-489.4943;361.9737;1143.2739;444.9645;940.4573;519.2946
-515.1714;265.275;920.0192;-489.6032;362.046;1143.2006;443.7362;941.8242;519.1021
-515.1677;265.4716;919.8876;-489.7189;362.1165;1143.1218;442.6817;943.0433;518.98
-515.1487;265.6372;919.74;-489.838;362.181;1143.0456;441.6283;944.188;518.7915
-515.1661;265.8069;919.5978;-489.9674;362.2454;1142.9695;440.5249;945.4807;518.6885
-515.1894;265.9681;919.4717;-490.1059;362.3041;1142.8918;439.3541;946.679;518.4387
-515.2371;266.1213;919.3167;-490.2472;362.3752;1142.8135;438.4838;947.7529;518.3994
-515.2942;266.2637;919.1549;-490.3997;362.441;1142.7427;437.4954;948.8212;518.2405
-515.3718;266.3876;919.0426;-490.5599;362.4985;1142.6655;436.457;949.8366;517.9786
-515.47;266.4988;918.9563;-490.7265;362.5516;1142.5778;435.4905;950.8746;517.8064
-515.5752;266.588;918.8847;-490.8941;362.6077;1142.4861;434.4491;951.9387;517.5778
-515.6852;266.6635;918.7947;-491.0689;362.6662;1142.3931;433.9519;952.4151;517.3962
-515.8089;266.7335;918.7398;-491.2431;362.7295;1142.3108;433.3088;952.8332;517.0213
-515.9374;266.787;918.6852;-491.4266;362.7848;1142.2342;432.4646;953.3559;516.5484
-516.0604;266.8422;918.6123;-491.6158;362.8373;1142.1733;431.7133;953.8414;516.1469
-516.1905;266.8697;918.5765;-491.8173;362.8681;1142.1183;430.9652;954.3739;515.827
-516.3297;266.8945;918.5427;-492.0274;362.8907;1142.0745;430.3974;955.076;515.8633
-516.4724;266.8909;918.4938;-492.2172;362.9252;1142.0456;430.3436;955.5601;516.2608
-516.6415;266.9026;918.4766;-492.4248;362.9464;1142.0278;430.3971;956.0923;516.8411
-516.8105;266.8905;918.4587;-492.6371;362.9559;1142.0129;430.4554;956.37;517.2074
-516.9728;266.8696;918.4224;-492.8394;362.9645;1141.9967;430.4951;956.6646;517.556
-517.1242;266.8214;918.3423;-493.0575;362.9519;1141.9669;430.0645;957.2562;517.6785
-517.2968;266.7815;918.3343;-493.267;362.9308;1141.9333;429.4531;957.93;517.682
-517.4709;266.7341;918.3556;-493.4527;362.9272;1141.9055;428.9845;958.4206;517.6557
-517.6318;266.6853;918.3357;-493.6348;362.9181;1141.8674;428.6521;958.8622;517.7089
-517.81;266.6089;918.3478;-493.8123;362.9126;1141.8276;428.2089;958.9686;517.3411
-517.9758;266.5153;918.3258;-493.9926;362.9118;1141.7917;427.7271;959.1058;516.9602
-518.1609;266.4125;918.3447;-494.1704;362.9052;1141.7564;427.3475;958.9785;516.464
-518.3257;266.3187;918.2998;-494.3523;362.8993;1141.7299;426.7454;958.9897;515.8573
-518.4989;266.2145;918.325;-494.5313;362.885;1141.6913;426.3336;958.9249;515.3837
-518.6697;266.1189;918.4072;-494.7123;362.8655;1141.6535;425.6753;959.0923;514.864
-518.816;266.0235;918.4324;-494.8952;362.8393;1141.6283;425.1286;959.211;514.4378
-518.9614;265.9118;918.4639;-495.0677;362.8112;1141.6072;424.7746;959.2704;514.1768
-519.1008;265.7755;918.5055;-495.2304;362.7888;1141.587;424.5317;959.2232;513.9327
-519.2244;265.6459;918.4622;-495.3872;362.7742;1141.5544;424.2089;959.2751;513.6623
