LWJC_x;LWJC_y;LWJC_z;LEJC_x;LEJC_y;LEJC_z;LGHJC_x;LGHJC_y;LGHJC_z
-11.5374;181.2469;858.5239;-30.1588;266.0106;1051.3881;-43.1079;273.3166;1317.6263
NaN;NaN;NaN;-30.08;265.943;1051.5614;-43.1587;273.1713;1317.6023
NaN;NaN;NaN;-30.0599;265.7666;1051.5607;-43.0889;273.1162;1317.6747
NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN
NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN
-11.5246;179.7252;858.7005;-29.9684;265.333;1051.5589;-42.926;272.9874;1317.7691
-11.6569;179.5579;858.8405;-29.9371;265.2327;1051.5909;-42.8509;272.9378;1317.8295
-11.7911;179.3636;858.9239;-29.8648;265.173;1051.6726;-43.069;272.5196;1317.8966
-11.8374;179.1249;858.9675;-29.7709;265.1559;1051.8117;-43.0698;272.4598;1317.8787
-11.7639;178.8526;858.9635;-29.7101;265.0816;1051.8552;-43.0293;272.4108;1317.9049
-11.8989;178.6792;859.0866;-29.6782;264.9864;1051.8619;-42.9826;272.3903;1317.9042
-12.0953;178.4639;859.1023;-29.6448;264.9026;1051.8804;-42.9346;272.3433;1317.9592
-12.1156;178.3251;859.1457;-29.6203;264.8135;1051.8614;-42.8503;272.3375;1318.0155
-12.256;178.1735;859.1787;-29.5935;264.6837;1051.7992;-42.8408;272.246;1318.0249
-12.3277;178.0571;859.23;-29.569;264.6042;1051.8113;-42.7913;272.209;1318.0826
-12.7581;178.1585;859.5857;-29.557;264.548;1051.843;-42.7106;272.1796;1318.1179
-12.852;178.0499;859.6164;-29.5699;264.5137;1051.8523;-42.6351;272.1587;1318.1308
-12.9186;177.9607;859.6367;-29.5516;264.4937;1051.8879;-42.6183;272.1044;1318.0924
-12.9656;177.8849;859.6342;-29.558;264.4783;1051.8912;-42.4802;272.1673;1318.1488
-13.0222;177.8233;859.63;-29.5383;264.4012;1051.8568;-42.472;272.1195;1318.099
-13.0673;177.7885;859.6286;-29.5186;264.4129;1051.8919;-42.3762;272.1014;1318.1167
-13.1118;177.7575;859.6413;-29.5274;264.3941;1051.8933;-42.2667;272.1516;1318.1498
-13.1491;177.7488;859.6399;-29.5272;264.3204;1051.8218;-42.1571;272.1604;1318.174
-13.1708;177.7393;859.6184;-29.5163;264.3265;1051.8443;-42.0771;272.1341;1318.1854
-13.1888;177.74;859.5845;-29.4839;264.2391;1051.778;-42.0414;272.0755;1318.1845
-13.1526;177.7435;859.5121;-29.4336;264.3427;1051.9102;-41.9266;272.0964;1318.2409
-13.1282;177.7612;859.4498;-29.4438;264.1467;1051.7114;-41.8585;272.0233;1318.2322
-13.1108;177.7961;859.4021;-29.4201;264.1151;1051.692;-41.7695;271.9618;1318.2418
-13.0401;177.8341;859.3193;-29.3878;264.1495;1051.7484;-41.6851;271.888;1318.227
-13.0233;177.8936;859.273;-29.3459;264.1289;1051.7542;-41.5867;271.8264;1318.262
-12.9644;177.9573;859.2088;-29.3121;264.1058;1051.7539;-41.5447;271.6836;1318.2022
-13.0096;178.0807;859.2246;-29.2167;264.3016;1052.017;-41.5061;271.5936;1318.2187
-12.949;178.17;859.1697;-29.2166;264.105;1051.7985;-41.4051;271.5138;1318.2607
-12.8933;178.2728;859.1186;-29.1901;264.1003;1051.7722;-41.3523;271.3579;1318.2453
-12.9125;178.3969;859.1221;-29.1286;264.2388;1051.9274;-41.3047;271.1956;1318.2908
-12.9431;178.5613;859.134;-29.0884;264.0966;1051.7645;-41.3061;270.9849;1318.2489
-12.9269;178.7194;859.1599;-29.0409;264.0877;1051.739;-41.2049;270.9036;1318.3223
-12.8798;178.8759;859.1396;-28.9756;264.1586;1051.8031;-41.1833;270.7418;1318.281
-12.8051;178.9844;859.0746;-28.9586;264.0985;1051.6939;-41.1122;270.6577;1318.2512
-12.6541;179.052;858.9402;-28.9339;264.071;1051.6282;-41.0439;270.6288;1318.2195
-12.4767;179.085;858.7649;-28.8735;264.0536;1051.5978;-41.0187;270.5669;1318.1899
