LWJC_x;LWJC_y;LWJC_z;LEJC_x;LEJC_y;LEJC_z;LGHJC_x;LGHJC_y;LGHJC_z
7.4518;194.5811;856.5083;-42.0311;266.1846;1048.8263;-52.5621;259.0279;1316.1256
7.6218;195.1097;856.7117;-42.085;266.5645;1048.8647;-52.6477;259.3243;1316.1202
7.7644;195.6268;856.8863;-42.1096;267.0214;1048.9233;-52.6941;259.5742;1316.1635
7.8134;195.9618;856.7994;-42.1529;267.2933;1048.9792;-52.7531;259.942;1316.1649
7.9885;196.4086;856.8249;-42.1324;267.5784;1049.0374;-52.8299;260.1412;1316.1639
8.1595;196.871;856.7583;-42.2335;267.8251;1048.9949;-52.8242;260.6306;1316.2171
8.5452;197.5102;856.9773;-42.24;268.3721;1049.0522;-52.8356;260.8714;1316.2673
8.6084;197.8164;856.8069;-42.233;268.6501;1049.0523;-52.9077;261.1298;1316.2615
8.9068;198.3164;857.0326;-42.2211;268.839;1049.0262;-53.0114;261.3001;1316.236
9.1875;198.7514;857.1415;-42.2255;268.9823;1048.9695;-52.8164;261.1157;1316.3971
9.446;199.1507;857.1947;-42.2598;269.2437;1048.9148;-52.8686;261.3502;1316.3982
9.5533;199.4732;857.213;-42.2827;269.5294;1048.9601;-52.8955;261.5511;1316.4051
9.7784;199.8319;857.3124;-42.1492;269.8045;1049.0493;-53.0601;261.4545;1316.3675
10.0135;200.1858;857.3258;-42.2489;269.9969;1048.9794;-53.093;261.7684;1316.3781
10.1565;200.4708;857.3327;-42.1444;270.2168;1049.0643;-53.2752;261.711;1316.3106
10.3016;200.7638;857.2756;-42.3122;270.411;1048.9779;-53.2129;262.0521;1316.3605
10.3975;201.0694;857.235;-42.3402;270.6118;1048.9886;-53.225;262.2288;1316.3872
10.623;201.509;857.3319;-42.3904;270.8095;1049.0151;-53.2529;262.5095;1316.4237
10.6417;201.779;857.2769;-42.3506;271.0183;1049.1073;-53.3739;262.6027;1316.4216
10.8118;202.199;857.331;-42.3718;271.1936;1049.1717;-53.4344;262.892;1316.4265
10.8819;202.5356;857.3003;-42.5515;271.327;1049.0882;-53.347;263.3608;1316.5163
10.9151;202.8465;857.2103;-42.5834;271.4797;1049.1045;-53.4305;263.5806;1316.5245
11.0246;203.2341;857.2593;-42.6405;271.671;1049.1139;-53.5019;263.7437;1316.5238
11.1392;203.5996;857.2701;-42.4924;271.8738;1049.2598;-53.7541;263.5568;1316.4378
11.1318;203.8642;857.2044;-42.4011;272.1377;1049.3175;-53.8867;263.495;1316.3695
11.0213;204.0885;857.0652;-42.5763;272.3519;1049.2532;-53.8345;263.805;1316.3947
11.0081;204.3841;857.0144;-42.8217;272.5632;1049.1602;-53.7019;264.2049;1316.4666
10.939;204.6704;856.9781;-42.7259;272.8234;1049.2518;-53.8348;263.9587;1316.4156
10.9751;205.0898;857.2573;-42.6295;273.0682;1049.3372;-53.9986;263.5847;1316.3609
10.8788;205.3262;857.2159;-42.8659;273.2491;1049.2309;-53.5165;263.6884;1316.6402
10.8078;205.5622;857.2126;-42.926;273.5107;1049.2564;-53.4864;263.6888;1316.6751
10.7844;205.8149;857.2004;-43.0377;273.7447;1049.2404;-53.3894;263.8292;1316.7249
10.7319;206.0469;857.2045;-43.051;273.9402;1049.2307;-53.3695;263.8612;1316.7238
10.7381;206.3;857.2094;-43.0705;274.1664;1049.2598;-53.3778;263.9486;1316.7065
10.7681;206.5724;857.2257;-43.0713;274.3548;1049.2359;-53.3734;264.0505;1316.6955
10.7091;206.7573;857.1424;-43.0896;274.5293;1049.2279;-53.3534;264.1874;1316.6752
10.6392;206.9166;857.0906;-43.0869;274.6696;1049.207;-53.2874;264.3209;1316.693
10.6657;207.1134;857.0454;-43.0915;274.8153;1049.1872;-53.2432;264.4389;1316.6893
10.6293;207.2482;856.997;-43.0974;274.9775;1049.1814;-53.2549;264.4894;1316.6542
10.6565;207.4711;856.97;-43.1117;275.1204;1049.1857;-53.1987;264.576;1316.6443
10.6643;207.6869;856.9131;-43.147;275.2376;1049.1739;-53.1704;264.6458;1316.617
10.6809;207.8894;856.8153;-43.1459;275.3129;1049.1792;-53.1829;264.6655;1316.5655
10.7269;208.1207;856.7413;-43.1363;275.3655;1049.1313;-53.1217;264.6324;1316.5291
10.7455;208.3252;856.6407;-43.1428;275.4128;1049.089;-53.0816;264.6035;1316.4842
10.7636;208.4552;856.4242;-43.1293;275.4679;1049.0741;-53.0374;264.5971;1316.433
10.9319;208.7684;856.6877;-43.1244;275.532;1049.0595;-52.3937;264.1451;1316.421
10.978;208.9226;856.5831;-43.0925;275.574;1049.0228;-52.3098;264.1814;1316.3923
11.0373;209.0745;856.5022;-43.0377;275.6101;1048.9798;-52.2173;264.1487;1316.3764
11.1145;209.2405;856.4454;-42.9863;275.6521;1048.9764;-51.9592;265.0235;1316.2342
11.2357;209.409;856.3649;-42.9284;275.6955;1048.9352;-51.897;265.0633;1316.1175
11.3008;209.5337;856.3324;-42.8486;275.7409;1048.9305;-51.7336;265.1028;1316.0572
11.3672;209.6521;856.3055;-42.7379;275.7633;1048.9404;-51.5204;265.0917;1316.0191
11.4427;209.7493;856.2031;-42.6289;275.766;1048.9035;-51.3353;265.3684;1316.0903
11.5462;209.8431;856.1466;-42.5066;275.7607;1048.8856;-51.0167;265.3251;1316.1027
11.6474;209.9208;856.0703;-42.3951;275.7629;1048.8889;-50.6836;265.3177;1316.1186
11.7372;209.9729;856.0215;-42.2783;275.7505;1048.8768;-50.3357;265.2556;1316.1652
11.8573;210.0116;855.9765;-42.1498;275.7158;1048.8498;-50.0309;265.12;1316.1874
11.9981;210.051;855.9412;-42.0149;275.6888;1048.8345;-49.7505;264.9735;1316.22
12.1019;210.0401;855.9235;-41.8605;275.6397;1048.8099;-49.4993;264.7736;1316.2585
12.2258;210.0209;855.8939;-41.6926;275.5601;1048.7918;-49.2912;264.6016;1316.2503
12.3734;209.977;855.7783;-41.54;275.5038;1048.7841;-49.0684;264.4906;1316.2433
12.5299;209.9614;855.7364;-41.3973;275.408;1048.7418;-48.8889;264.4103;1316.1936
12.635;209.9058;855.6766;-41.2711;275.3027;1048.6974;-48.6979;264.4165;1316.1634
12.806;209.8681;855.6516;-41.1372;275.1602;1048.6469;-48.5366;264.3642;1316.1272
12.9473;209.793;855.5724;-41.008;275.0057;1048.6064;-48.364;264.237;1316.0774
13.114;209.7284;855.4963;-40.9389;274.8549;1048.4951;-48.1312;264.0135;1316.0795
13.2783;209.6169;855.3989;-40.7648;274.6627;1048.5357;-48.0686;263.8377;1316.0162
13.4118;209.4914;855.3605;-40.6457;274.4819;1048.518;-47.9419;263.6135;1315.9692
13.5212;209.3504;855.3517;-40.5454;274.289;1048.4766;-47.8074;263.3409;1315.9293
