RWJC_x;RWJC_y;RWJC_z;REJC_x;REJC_y;REJC_z;RGHJC_x;RGHJC_y;RGHJC_z
-521.9965;264.2315;923.8813;-484.7358;355.9530;1147.9868;304.2245;1336.3499;963.0269
-522.0424;264.2985;923.8332;-484.8112;355.9985;1147.9526;303.6667;1336.6413;963.1470
-522.0738;264.3596;923.7698;-484.8782;356.0416;1147.9139;303.2578;1336.8719;963.2708
-522.1004;264.4294;923.7084;-484.9388;356.0825;1147.8659;303.1434;1336.9438;963.4558
-522.1215;264.5059;923.6487;-484.9866;356.1217;1147.8084;303.0154;1337.0131;963.6007
-522.1306;264.5891;923.5680;-485.0338;356.1528;1147.7448;302.8825;1337.0781;963.7906
-522.1276;264.6575;923.4791;-485.0682;356.1838;1147.6783;303.2220;1336.8905;963.8223
-522.1094;264.7226;923.3828;-485.0991;356.2095;1147.6006;302.6444;1337.2176;964.4372
-522.0882;264.7873;923.2772;-485.1209;356.2435;1147.5249;302.5102;1337.3244;965.0851
-522.0495;264.8431;923.1638;-485.1403;356.2734;1147.4461;302.5158;1337.3727;965.7850
-522.0057;264.8991;923.0620;-485.1574;356.2997;1147.3566;302.5887;1337.3551;966.2508
-521.9576;264.9487;922.9610;-485.1760;356.3171;1147.2655;303.0029;1337.1566;966.8334
-521.8963;264.9839;922.8591;-485.1798;356.3370;1147.1631;303.0905;1337.1059;967.2324
-521.8266;265.0093;922.7619;-485.1767;356.3626;1147.0570;303.1701;1337.0595;967.6483
-521.7518;265.0349;922.6623;-485.1752;356.3820;1146.9401;303.1473;1337.0751;968.2895
-521.6712;265.0458;922.5758;-485.1684;356.4083;1146.8167;303.6397;1336.7837;968.5226
-521.5855;265.0438;922.5003;-485.1618;356.4301;1146.6872;303.9307;1336.6142;968.9505
-521.4878;265.0473;922.4230;-485.1517;356.4479;1146.5531;304.3345;1336.3956;969.5429
-521.3890;265.0342;922.3438;-485.1353;356.4630;1146.4112;304.6222;1336.2158;970.0378
-521.2853;265.0051;922.2726;-485.1138;356.4724;1146.2688;305.0029;1335.9763;970.5165
-521.1764;264.9384;922.2047;-485.1031;356.4693;1146.1275;305.7307;1335.5171;970.8263
-521.0532;264.9011;922.0945;-485.1025;356.4428;1145.9857;306.2753;1335.1496;971.3296
-520.9286;264.8395;921.9848;-485.0996;356.4080;1145.8535;306.6386;1334.8667;971.6583
-520.8017;264.7752;921.8895;-485.0969;356.3780;1145.7356;306.2776;1335.0143;972.3621
-520.6658;264.7048;921.7836;-485.0906;356.3528;1145.6271;306.3503;1334.9262;972.9726
