LWJC_x;LWJC_y;LWJC_z;LEJC_x;LEJC_y;LEJC_z;LGHJC_x;LGHJC_y;LGHJC_z
26.2166;264.4992;790.7416;NaN;NaN;NaN;NaN;NaN;NaN
25.3564;264.9509;789.5739;NaN;NaN;NaN;NaN;NaN;NaN
25.2598;265.6070;789.5241;NaN;NaN;NaN;NaN;NaN;NaN
24.7007;266.0822;789.2253;NaN;NaN;NaN;NaN;NaN;NaN
24.7003;266.7320;789.2319;NaN;NaN;NaN;NaN;NaN;NaN
25.3211;267.4925;790.5632;NaN;NaN;NaN;NaN;NaN;NaN
23.9128;267.3417;788.4641;NaN;NaN;NaN;NaN;NaN;NaN
23.3276;267.4832;788.2739;NaN;NaN;NaN;NaN;NaN;NaN
23.0100;267.5668;787.7180;NaN;NaN;NaN;NaN;NaN;NaN
23.5359;267.9598;788.8403;NaN;NaN;NaN;NaN;NaN;NaN
22.4250;267.6228;787.4740;NaN;NaN;NaN;NaN;NaN;NaN
22.0216;267.4903;787.2158;NaN;NaN;NaN;NaN;NaN;NaN
22.6449;267.6046;788.3833;NaN;NaN;NaN;NaN;NaN;NaN
21.2593;266.9476;787.1093;NaN;NaN;NaN;NaN;NaN;NaN
20.6715;266.4837;786.7813;NaN;NaN;NaN;NaN;NaN;NaN
20.9947;266.2819;787.2138;NaN;NaN;NaN;NaN;NaN;NaN
20.4977;265.5542;786.6058;NaN;NaN;NaN;NaN;NaN;NaN
20.0516;264.9273;786.3501;NaN;NaN;NaN;NaN;NaN;NaN
20.0216;264.2990;786.5407;NaN;NaN;NaN;NaN;NaN;NaN
18.9112;263.1935;786.1190;NaN;NaN;NaN;NaN;NaN;NaN
19.0362;262.4884;786.1953;NaN;NaN;NaN;NaN;NaN;NaN
18.3742;261.2566;785.4457;NaN;NaN;NaN;NaN;NaN;NaN
18.3258;260.3582;785.9406;NaN;NaN;NaN;NaN;NaN;NaN
17.8600;259.0979;786.3038;NaN;NaN;NaN;NaN;NaN;NaN
17.0236;257.5863;785.0701;NaN;NaN;NaN;NaN;NaN;NaN
16.8256;256.3630;785.7038;NaN;NaN;NaN;NaN;NaN;NaN
16.0815;254.7505;785.3820;NaN;NaN;NaN;NaN;NaN;NaN
15.4722;253.1362;785.1686;NaN;NaN;NaN;NaN;NaN;NaN
15.3264;251.7280;785.8808;NaN;NaN;NaN;NaN;NaN;NaN
14.6415;249.9290;785.4600;NaN;NaN;NaN;NaN;NaN;NaN
14.0314;248.0543;785.1341;NaN;NaN;NaN;NaN;NaN;NaN
14.1232;246.5802;786.6220;NaN;NaN;NaN;NaN;NaN;NaN
13.3072;244.5453;786.3209;NaN;NaN;NaN;NaN;NaN;NaN
12.7109;242.5396;786.0344;NaN;NaN;NaN;NaN;NaN;NaN
12.2498;240.6381;787.0002;NaN;NaN;NaN;NaN;NaN;NaN
12.6032;238.9324;788.1026;NaN;NaN;NaN;NaN;NaN;NaN
11.0746;237.3368;787.0862;NaN;NaN;NaN;NaN;NaN;NaN
12.3440;235.4833;790.2462;NaN;NaN;NaN;NaN;NaN;NaN
9.7156;232.9664;787.5662;NaN;NaN;NaN;NaN;NaN;NaN
10.9209;231.2129;788.3305;NaN;NaN;NaN;NaN;NaN;NaN
9.5882;228.7662;787.9298;NaN;NaN;NaN;NaN;NaN;NaN
8.8707;226.6380;788.2677;NaN;NaN;NaN;NaN;NaN;NaN
9.9580;224.4107;791.3679;NaN;NaN;NaN;NaN;NaN;NaN
9.5715;222.1596;791.5105;NaN;NaN;NaN;NaN;NaN;NaN
8.9818;219.8621;791.6968;NaN;NaN;NaN;NaN;NaN;NaN
8.6750;217.5879;792.1127;NaN;NaN;NaN;NaN;NaN;NaN
8.0728;215.1577;792.1812;NaN;NaN;NaN;NaN;NaN;NaN
7.6378;212.8233;792.3562;NaN;NaN;NaN;NaN;NaN;NaN
7.1932;210.5496;792.6910;NaN;NaN;NaN;NaN;NaN;NaN
6.6137;208.1871;792.7908;NaN;NaN;NaN;NaN;NaN;NaN
5.9996;205.8106;792.9459;NaN;NaN;NaN;NaN;NaN;NaN
5.4992;203.4927;793.1706;NaN;NaN;NaN;NaN;NaN;NaN
4.4175;200.9686;792.7176;NaN;NaN;NaN;NaN;NaN;NaN
3.2174;198.4767;792.2989;NaN;NaN;NaN;NaN;NaN;NaN
2.3028;196.1401;792.0398;NaN;NaN;NaN;NaN;NaN;NaN
1.1805;193.7846;791.6055;NaN;NaN;NaN;NaN;NaN;NaN
0.4117;191.5585;791.6569;NaN;NaN;NaN;NaN;NaN;NaN
-0.2987;189.3799;791.6478;NaN;NaN;NaN;NaN;NaN;NaN
-1.0394;187.2392;791.7523;NaN;NaN;NaN;NaN;NaN;NaN
-1.6146;185.2522;791.8282;NaN;NaN;NaN;NaN;NaN;NaN
-2.4183;183.2551;791.9587;NaN;NaN;NaN;NaN;NaN;NaN
-3.0295;181.3895;791.9212;NaN;NaN;NaN;NaN;NaN;NaN
-3.6897;179.5657;792.1168;NaN;NaN;NaN;NaN;NaN;NaN
-4.3482;177.7852;792.2019;NaN;NaN;NaN;NaN;NaN;NaN
-5.0922;175.9891;792.3936;NaN;NaN;NaN;NaN;NaN;NaN
-5.7401;174.2914;792.6020;NaN;NaN;NaN;NaN;NaN;NaN
-6.4987;172.6052;792.7671;NaN;NaN;NaN;NaN;NaN;NaN
-7.2384;170.9008;792.8016;NaN;NaN;NaN;NaN;NaN;NaN
-7.9480;169.4345;792.8741;NaN;NaN;NaN;NaN;NaN;NaN
-8.7388;167.9279;792.8930;NaN;NaN;NaN;NaN;NaN;NaN
-9.5085;166.6027;793.0259;NaN;NaN;NaN;NaN;NaN;NaN
-10.2311;165.1463;793.0263;NaN;NaN;NaN;NaN;NaN;NaN
-10.9783;163.7834;793.0405;NaN;NaN;NaN;NaN;NaN;NaN
-11.7838;162.6497;793.0388;NaN;NaN;NaN;NaN;NaN;NaN
-12.5299;161.3880;792.9545;NaN;NaN;NaN;NaN;NaN;NaN
-13.2997;160.3391;792.9300;NaN;NaN;NaN;NaN;NaN;NaN
-14.1088;159.2546;792.8785;NaN;NaN;NaN;NaN;NaN;NaN
-15.6176;159.4543;794.0590;NaN;NaN;NaN;NaN;NaN;NaN
-16.4036;158.4621;793.9672;NaN;NaN;NaN;NaN;NaN;NaN
-17.1949;157.6618;793.9976;NaN;NaN;NaN;NaN;NaN;NaN
-17.9620;156.7418;793.8407;NaN;NaN;NaN;NaN;NaN;NaN
-18.7282;156.0559;793.9104;NaN;NaN;NaN;NaN;NaN;NaN
-19.5106;155.3934;793.8722;NaN;NaN;NaN;NaN;NaN;NaN
-20.2914;154.7114;793.8386;NaN;NaN;NaN;NaN;NaN;NaN
-21.1515;154.1786;793.9402;NaN;NaN;NaN;NaN;NaN;NaN
-21.8424;153.8848;794.0768;NaN;NaN;NaN;NaN;NaN;NaN
-22.6702;153.3642;794.1061;NaN;NaN;NaN;NaN;NaN;NaN
-23.4206;152.8870;794.1259;NaN;NaN;NaN;NaN;NaN;NaN
-24.1574;152.5013;794.1717;NaN;NaN;NaN;NaN;NaN;NaN
-24.9055;152.4026;794.3548;NaN;NaN;NaN;NaN;NaN;NaN
-25.5450;152.2951;794.4147;NaN;NaN;NaN;NaN;NaN;NaN
-26.1923;152.0656;794.3128;NaN;NaN;NaN;NaN;NaN;NaN
-26.7799;152.0845;794.3473;NaN;NaN;NaN;NaN;NaN;NaN
-27.3540;152.0597;794.2992;NaN;NaN;NaN;NaN;NaN;NaN
-27.9734;151.9199;794.1177;NaN;NaN;NaN;NaN;NaN;NaN
-28.5520;151.7543;793.8783;NaN;NaN;NaN;NaN;NaN;NaN
-29.0715;151.8561;793.7151;NaN;NaN;NaN;NaN;NaN;NaN
-29.5674;151.9487;793.5214;NaN;NaN;NaN;NaN;NaN;NaN
-29.9935;152.1205;793.3279;NaN;NaN;NaN;NaN;NaN;NaN
-30.4162;152.3341;793.1558;NaN;NaN;NaN;NaN;NaN;NaN
-30.8256;152.5766;792.9840;NaN;NaN;NaN;NaN;NaN;NaN
