XWJC_x;XWJC_y;XWJC_z;XEJC_x;XEJC_y;XEJC_z;XGHJC_x;XGHJC_y;XGHJC_z
-485.9852;312.9914;902.1913;-450.3759;398.1852;1126.1363;-401.1826;394.5906;1454.3268
-486.0582;312.9932;902.2422;-450.3759;398.1857;1126.2158;-401.0660;394.5278;1454.3346
-486.1335;312.9946;902.2888;-450.3770;398.2311;1126.2725;-400.9810;394.3880;1454.3442
-486.1419;312.9946;902.4085;-450.3889;398.2311;1126.3477;-400.8949;394.2314;1454.3587
-486.1895;312.9946;902.4574;-450.3890;398.2311;1126.3608;-400.8153;394.1414;1454.3731
-486.1895;312.9829;902.5456;-450.3890;398.1791;1126.3608;-400.7803;394.1414;1454.3828
-486.1895;312.9676;902.6218;-450.3890;398.0802;1126.3805;-400.7469;394.1361;1454.3922
-486.1762;312.9339;902.7198;-450.3158;398.0186;1126.3805;-400.7350;394.1414;1454.4252
-486.1738;312.8977;902.7972;-450.3039;397.9331;1126.3608;-400.6659;394.1903;1454.4410
-486.1677;312.8366;902.8907;-450.2682;397.8960;1126.3584;-400.6516;394.2787;1454.4593
-486.1663;312.7780;902.9540;-450.2269;397.7304;1126.3584;-400.6472;394.3064;1454.4747
-486.1663;312.7258;902.9540;-450.1880;397.6000;1126.3189;-400.6261;394.3815;1454.4906
-486.1677;312.6511;902.9540;-450.1499;397.5393;1126.3176;-400.5872;394.3931;1454.5047
-486.2089;312.6110;902.9457;-450.1226;397.4299;1126.2922;-400.5472;394.4279;1454.5097
-486.2089;312.5491;902.9457;-450.0819;397.3710;1126.2922;-400.5077;394.4507;1454.5223
-486.2089;312.4707;902.9457;-450.0474;397.3270;1126.2848;-400.4647;394.4603;1454.5338
-486.1676;312.3715;902.9669;-450.0177;397.3264;1126.2837;-400.4111;394.4642;1454.5351
-486.1616;312.2773;902.9810;-449.9997;397.1964;1126.2832;-400.3666;394.5352;1454.5376
-486.1516;312.1833;902.9813;-449.9655;397.1855;1126.2832;-400.3255;394.6031;1454.5424
-486.1200;312.0802;903.0343;-449.9272;397.1855;1126.2832;-400.2827;394.6031;1454.5443
-486.0646;311.9718;903.0938;-449.9026;397.1855;1126.4280;-400.2265;394.6031;1454.5552
-486.0416;311.8750;903.1212;-449.8973;397.3728;1126.5883;-400.0935;394.4628;1454.5552
-486.0071;311.7626;903.1514;-449.8934;397.4764;1126.6937;-399.9864;394.3434;1454.5552
-485.9616;311.6365;903.1891;-449.8934;397.5208;1126.7513;-399.8946;394.2906;1454.5444
-485.9353;311.5248;903.2146;-449.8765;397.5208;1126.7902;-399.8168;394.2906;1454.5325
-485.9269;311.4173;903.2329;-449.8606;397.5208;1126.8015;-399.7469;394.2906;1454.5193
-485.8885;311.2874;903.2650;-449.8361;397.4798;1126.8015;-399.6910;394.3501;1454.5070
-485.8420;311.1537;903.3046;-449.8221;397.4538;1126.8015;-399.6281;394.3762;1454.4943
-485.7950;311.0183;903.3533;-449.8006;397.3844;1126.7867;-399.5807;394.4552;1454.4837
-485.7482;310.8854;903.4011;-449.7787;397.3163;1126.7743;-399.5333;394.5256;1454.4766
-485.7063;310.7708;903.4180;-449.7483;397.2762;1126.7742;-399.5333;394.5736;1454.4766
-485.6607;310.6474;903.4667;-449.6761;396.9825;1126.6427;-399.5212;394.9013;1454.4766
-485.6138;310.5127;903.4912;-449.5946;396.8074;1126.5695;-399.5182;395.1305;1454.4901
-485.6104;310.4261;903.4973;-449.5484;396.6489;1126.4931;-399.5182;395.2720;1454.4941
-485.5940;310.3207;903.5271;-449.4920;396.5110;1126.4405;-399.5182;395.4133;1454.5087
-485.5077;310.1869;903.5342;-449.4623;396.4901;1126.4351;-399.4669;395.4170;1454.5151
-485.4582;310.0753;903.5502;-449.4083;396.3530;1126.4011;-399.4562;395.5356;1454.5262
-485.4502;309.9670;903.5578;-449.3756;396.3213;1126.4011;-399.4035;395.5356;1454.5307
-485.4050;309.8652;903.5707;-449.3452;396.3213;1126.4011;-399.3678;395.5356;1454.5333
