XWJC_x;XWJC_y;XWJC_z;XEJC_x;XEJC_y;XEJC_z;XGHJC_x;XGHJC_y;XGHJC_z
5.4357;203.8378;908.6568;-0.9450;294.0032;1147.0462;-31.0776;327.0662;1467.7607
5.7033;203.4706;908.7246;-0.8897;293.7788;1147.0803;-31.0302;326.7837;1467.7731
6.0297;203.0933;908.7452;-0.7643;293.4704;1147.1501;-30.9915;326.5501;1467.8090
6.3854;202.7653;908.7763;-0.6327;293.1610;1147.2242;-30.8930;326.2984;1467.8705
6.7686;202.4330;908.8754;-0.4354;292.8080;1147.2783;-30.8930;326.0964;1467.8705
7.1702;202.0767;908.9022;-0.2694;292.4885;1147.3484;-30.8930;325.8888;1467.8705
7.5913;201.7294;908.9638;0.0654;291.9422;1147.4006;-30.9587;325.7111;1467.8779
8.0524;201.3956;909.0035;0.3236;291.4729;1147.4129;-30.9587;325.5158;1467.8779
8.5178;201.0531;909.0354;0.4102;291.3220;1147.4735;-31.0053;325.1628;1467.8779
8.9809;200.7231;909.1190;0.5421;291.0872;1147.5540;-31.0744;324.8621;1467.8779
9.4432;200.3919;909.1432;0.7328;290.7959;1147.6362;-31.0744;324.6232;1467.8779
9.9169;200.0838;909.2193;0.9427;290.4948;1147.7310;-31.3180;324.3373;1467.8993
10.3961;199.7463;909.2763;1.1425;290.1905;1147.8189;-31.4235;324.0776;1467.8949
10.8334;199.4197;909.3652;1.3360;289.8754;1147.9032;-31.4243;323.8435;1467.8949
11.2849;199.0725;909.4449;1.5131;289.5751;1147.9773;-31.5181;323.6339;1467.8993
11.7236;198.7247;909.5143;1.6613;289.3046;1148.0109;-31.5556;323.4522;1467.8993
12.1460;198.4076;909.6139;1.7915;289.0451;1148.0661;-31.6498;323.3485;1467.8949
12.5784;198.0679;909.7205;2.0550;288.5148;1148.0779;-31.6511;323.3062;1467.9146
12.9820;197.7337;909.8188;2.1830;288.2788;1148.1096;-31.6511;323.1805;1467.9146
13.3716;197.4132;909.9700;2.2254;288.1683;1148.1648;-31.6511;323.0929;1467.9146
13.7523;197.0829;910.0721;2.3062;287.9774;1148.2250;-31.5498;323.0820;1467.9873
14.1313;196.7649;910.1719;2.4124;287.7230;1148.2889;-31.4217;323.0768;1468.0590
14.4843;196.4633;910.3076;2.5080;287.5069;1148.3618;-31.3617;323.0744;1468.0672
14.8321;196.1685;910.3945;2.6157;287.2481;1148.4062;-31.2623;323.0269;1468.1514
15.1707;195.8859;910.4890;2.7300;286.9680;1148.4505;-31.1788;323.0074;1468.1863
15.4904;195.6181;910.5854;2.8492;286.7121;1148.5025;-31.1615;323.0062;1468.2107
15.7759;195.3573;910.6894;2.9454;286.4570;1148.5292;-31.1235;322.9687;1468.2107
16.0480;195.0944;910.7741;3.0788;286.1328;1148.5512;-31.1235;322.8819;1468.1975
16.3105;194.8541;910.8286;3.2237;285.7899;1148.5583;-31.1235;322.8697;1468.2107
16.5413;194.6399;910.8932;3.3585;285.4789;1148.5624;-31.1399;322.7988;1468.2127
16.7356;194.4383;910.9794;3.4771;285.2366;1148.5893;-31.1399;322.7025;1468.2186
16.9204;194.2288;911.0612;3.5716;285.0497;1148.6396;-31.1399;322.5892;1468.2503
17.0698;194.0248;911.1236;3.6387;284.9024;1148.6923;-31.1465;322.4417;1468.3094
17.2188;193.8393;911.1633;3.6800;284.8124;1148.7563;-31.1444;322.3113;1468.3565
17.3491;193.6717;911.2235;3.7475;284.6518;1148.8004;-31.1444;322.1895;1468.3738
17.4561;193.5111;911.2806;3.7922;284.5539;1148.8499;-31.1472;322.0370;1468.4026
17.5280;193.3509;911.3556;3.8544;284.3978;1148.8876;-31.1486;321.9065;1468.4026
17.5825;193.2196;911.4279;4.0493;284.1273;1149.1028;-31.2991;321.8263;1468.4134
