LWJC_x;LWJC_y;LWJC_z;LEJC_x;LEJC_y;LEJC_z;LGHJC_x;LGHJC_y;LGHJC_z
9.5316;194.1481;780.3602;NaN;NaN;NaN;NaN;NaN;NaN
9.5340;194.1005;780.3719;NaN;NaN;NaN;NaN;NaN;NaN
9.5363;194.0530;780.3836;NaN;NaN;NaN;NaN;NaN;NaN
9.5387;194.0054;780.3953;NaN;NaN;NaN;NaN;NaN;NaN
9.5410;193.9579;780.4070;NaN;NaN;NaN;NaN;NaN;NaN
9.5433;193.9103;780.4187;NaN;NaN;NaN;NaN;NaN;NaN
9.5457;193.8628;780.4303;NaN;NaN;NaN;NaN;NaN;NaN
9.5174;193.8290;780.4129;NaN;NaN;NaN;NaN;NaN;NaN
9.5184;193.7987;780.4135;NaN;NaN;NaN;NaN;NaN;NaN
9.5174;193.7689;780.4008;NaN;NaN;NaN;NaN;NaN;NaN
9.5226;193.7571;780.3993;NaN;NaN;NaN;NaN;NaN;NaN
9.5352;193.7560;780.4005;NaN;NaN;NaN;NaN;NaN;NaN
9.5413;193.7452;780.3751;NaN;NaN;NaN;NaN;NaN;NaN
9.5643;193.7504;780.3732;NaN;NaN;NaN;NaN;NaN;NaN
9.5684;193.7619;780.3497;NaN;NaN;NaN;NaN;NaN;NaN
9.5868;193.7716;780.3554;NaN;NaN;NaN;NaN;NaN;NaN
9.5983;193.7894;780.3408;NaN;NaN;NaN;NaN;NaN;NaN
9.6048;193.8111;780.2913;NaN;NaN;NaN;NaN;NaN;NaN
9.6221;193.8385;780.2799;NaN;NaN;NaN;NaN;NaN;NaN
9.6402;193.8650;780.2694;NaN;NaN;NaN;NaN;NaN;NaN
9.6872;193.8845;780.2881;NaN;NaN;NaN;NaN;NaN;NaN
9.7204;193.9156;780.2826;NaN;NaN;NaN;NaN;NaN;NaN
9.7626;193.9456;780.2742;NaN;NaN;NaN;NaN;NaN;NaN
9.8259;193.9686;780.2924;NaN;NaN;NaN;NaN;NaN;NaN
9.8805;193.9950;780.2920;NaN;NaN;NaN;NaN;NaN;NaN
