RWJC_x;RWJC_y;RWJC_z;REJC_x;REJC_y;REJC_z;RGHJC_x;RGHJC_y;RGHJC_z
-375.6025;150.8755;838.7953;-387.3077;238.8318;1040.2699;-391.3667;250.4144;1300.9285
-375.6068;150.7720;838.8228;-387.3289;238.7367;1040.2579;-391.3529;250.2757;1300.9124
-375.6111;150.6686;838.8502;-387.3500;238.6415;1040.2459;-391.3391;250.1370;1300.8963
-375.6154;150.5652;838.8777;-387.3712;238.5463;1040.2338;-391.3253;249.9983;1300.8802
-375.6197;150.4618;838.9052;-387.3924;238.4511;1040.2218;-391.3115;249.8595;1300.8641
-375.6240;150.3584;838.9327;-387.4136;238.3560;1040.2097;-391.2976;249.7208;1300.8479
-375.6283;150.2550;838.9601;-387.4347;238.2608;1040.1977;-391.2838;249.5821;1300.8318
-375.6198;150.1513;838.9817;-387.4559;238.1626;1040.1829;-391.2762;249.4657;1300.8084
-375.6084;150.0459;838.9904;-387.4745;238.0679;1040.1643;-391.2774;249.3591;1300.7826
-375.5962;149.9396;838.9902;-387.4881;237.9793;1040.1398;-391.2894;249.2655;1300.7532
-375.5777;149.8366;838.9898;-387.4986;237.8948;1040.1130;-391.3076;249.1832;1300.7190
-375.5523;149.7346;838.9826;-387.5070;237.8115;1040.0817;-391.3301;249.1144;1300.6782
-375.5222;149.6337;838.9641;-387.5106;237.7311;1040.0465;-391.3588;249.0567;1300.6344
-375.4861;149.5305;838.9322;-387.5103;237.6540;1040.0096;-391.3942;249.0114;1300.5876
-375.4430;149.4291;838.8900;-387.5058;237.5787;1039.9701;-391.4316;248.9758;1300.5384
-375.3906;149.3296;838.8479;-387.5000;237.5050;1039.9316;-391.4705;248.9484;1300.4878
-375.3343;149.2319;838.7973;-387.4913;237.4331;1039.8946;-391.5117;248.9269;1300.4365
-375.2746;149.1352;838.7446;-387.4807;237.3609;1039.8583;-391.5509;248.9093;1300.3857
-375.2101;149.0404;838.6927;-387.4683;237.2902;1039.8234;-391.5914;248.8959;1300.3357
-375.1445;148.9470;838.6413;-387.4531;237.2211;1039.7893;-391.6294;248.8811;1300.2874
-375.0790;148.8562;838.5918;-387.4354;237.1558;1039.7565;-391.6685;248.8659;1300.2430
-375.0139;148.7670;838.5465;-387.4190;237.0909;1039.7264;-391.6999;248.8473;1300.2006
-374.9468;148.6776;838.5037;-387.4056;237.0248;1039.6987;-391.7189;248.8213;1300.1605
-374.8817;148.5890;838.4633;-387.3936;236.9613;1039.6723;-391.7351;248.7924;1300.1245
-374.8209;148.5004;838.4258;-387.3833;236.8986;1039.6471;-391.7471;248.7605;1300.0923
-374.7669;148.4087;838.3859;-387.3784;236.8369;1039.6240;-391.7534;248.7275;1300.0597
-374.7193;148.3149;838.3451;-387.3772;236.7747;1039.5968;-391.7594;248.6961;1300.0278
-374.6787;148.2204;838.3097;-387.3826;236.7118;1039.5695;-391.7647;248.6705;1299.9940
-374.6447;148.1256;838.2781;-387.3926;236.6501;1039.5384;-391.7735;248.6509;1299.9585
-374.6173;148.0284;838.2488;-387.4066;236.5893;1039.5023;-391.7900;248.6399;1299.9210
-374.5968;147.9290;838.2231;-387.4260;236.5313;1039.4630;-391.8139;248.6364;1299.8815
-374.5857;147.8251;838.1907;-387.4496;236.4753;1039.4211;-391.8442;248.6403;1299.8384
-374.5820;147.7201;838.1556;-387.4777;236.4222;1039.3755;-391.8828;248.6539;1299.7922
-374.5865;147.6159;838.1227;-387.5128;236.3691;1039.3283;-391.9234;248.6740;1299.7402
-374.6011;147.5111;838.0827;-387.5516;236.3175;1039.2780;-391.9692;248.6984;1299.6850
-374.6290;147.4080;838.0372;-387.5931;236.2685;1039.2254;-392.0252;248.7317;1299.6261
-374.6618;147.3052;837.9890;-387.6397;236.2204;1039.1705;-392.0843;248.7721;1299.5621
-374.7004;147.2024;837.9363;-387.6889;236.1744;1039.1136;-392.1510;248.8192;1299.4946
-374.7421;147.1053;837.8901;-387.7399;236.1306;1039.0555;-392.2257;248.8685;1299.4259
-374.7874;147.0115;837.8449;-387.7933;236.0896;1038.9986;-392.3052;248.9192;1299.3547
-374.8323;146.9215;837.8004;-387.8487;236.0499;1038.9409;-392.3850;248.9665;1299.2810
-374.8830;146.8354;837.7531;-387.9054;236.0119;1038.8836;-392.4648;249.0083;1299.2069
-374.9368;146.7540;837.7038;-387.9622;235.9744;1038.8270;-392.5436;249.0412;1299.1338
-374.9943;146.6775;837.6492;-388.0195;235.9386;1038.7720;-392.6220;249.0657;1299.0615
-375.0519;146.6094;837.6022;-388.0778;235.9038;1038.7164;-392.6993;249.0787;1298.9917
-375.1095;146.5447;837.5543;-388.1367;235.8699;1038.6622;-392.7740;249.0780;1298.9237
-375.1692;146.4833;837.5004;-388.1938;235.8370;1038.6066;-392.8495;249.0655;1298.8588
-375.2265;146.4257;837.4460;-388.2513;235.8037;1038.5506;-392.9234;249.0410;1298.7945
-375.2790;146.3708;837.3898;-388.3106;235.7678;1038.4949;-392.9911;249.0006;1298.7313
-375.3296;146.3221;837.3358;-388.3676;235.7319;1038.4390;-393.0622;248.9492;1298.6702
-375.3735;146.2779;837.2817;-388.4234;235.6943;1038.3830;-393.1335;248.8838;1298.6110
-375.4138;146.2390;837.2260;-388.4786;235.6545;1038.3274;-393.2035;248.8073;1298.5522
-375.4494;146.2057;837.1694;-388.5328;235.6114;1038.2728;-393.2704;248.7178;1298.4945
-375.4804;146.1769;837.1113;-388.5840;235.5665;1038.2192;-393.3425;248.6174;1298.4388
-375.5056;146.1537;837.0489;-388.6345;235.5146;1038.1659;-393.4124;248.5037;1298.3829
-375.5263;146.1351;836.9861;-388.6854;235.4582;1038.1129;-393.4809;248.3743;1298.3269
-375.5418;146.1211;836.9212;-388.7334;235.3948;1038.0589;-393.5483;248.2272;1298.2719
-375.5535;146.1073;836.8474;-388.7518;235.3295;1037.9895;-393.6520;248.0741;1298.2230
-375.5617;146.0966;836.7720;-388.7676;235.2565;1037.9209;-393.7492;247.9002;1298.1766
-375.5643;146.0854;836.6984;-388.7825;235.1757;1037.8569;-393.8350;247.7009;1298.1324
-375.5659;146.0726;836.6233;-388.7927;235.0862;1037.7940;-393.9141;247.4785;1298.0934
-375.5682;146.0562;836.5484;-388.7983;234.9908;1037.7333;-393.9850;247.2312;1298.0605
