RWJC_x;RWJC_y;RWJC_z;REJC_x;REJC_y;REJC_z;RGHJC_x;RGHJC_y;RGHJC_z
-476.3661;267.0902;910.6887;-457.0779;384.7990;1118.5258;-408.0219;396.6008;1448.7078
-476.2518;267.0410;911.3591;-456.8945;386.0542;1118.4303;-407.8195;396.8957;1448.7444
-476.1710;266.9534;912.1219;-456.7200;387.3520;1118.4303;-407.5466;397.0484;1448.7787
-476.1375;266.8429;912.9707;-456.6053;388.6877;1118.4176;-407.2112;397.0669;1448.8460
-476.1212;266.7144;913.8794;-456.4954;390.0242;1118.3861;-406.8873;397.0804;1448.9242
-476.1212;266.5577;914.8804;-456.4743;391.2973;1118.4303;-406.5774;397.1336;1449.0090
-476.1191;266.3821;915.9114;-456.4743;392.6107;1118.4423;-406.2354;397.2554;1449.1135
-476.1191;266.1726;917.0330;-456.4743;393.9572;1118.5035;-405.9079;397.4364;1449.2258
-475.9711;265.9044;917.8451;-456.5308;395.2707;1118.6653;-405.5675;397.6965;1449.3538
-475.9711;265.5900;918.9671;-456.5815;396.5847;1118.7998;-405.2941;398.1374;1449.5158
-475.9711;265.2196;920.2136;-456.6572;397.9162;1119.0135;-404.9993;398.5604;1449.7022
-475.9781;264.8126;921.5648;-456.8035;399.0989;1119.1148;-404.6408;398.9622;1449.8619
-476.0270;264.3653;922.9091;-457.0035;400.0938;1119.1624;-404.2554;399.3918;1449.9770
-476.1199;263.8853;924.3329;-457.1717;401.0378;1119.1864;-403.9052;399.7357;1450.1125
-476.2362;263.3617;925.7417;-457.2211;401.9908;1119.2959;-403.5539;399.8510;1450.2894
-476.3747;262.7950;927.2061;-457.2366;403.0575;1119.5967;-403.2274;399.8510;1450.5098
-476.5661;262.1574;928.8001;-457.2475;404.1437;1119.8369;NaN;NaN;NaN
-476.7575;261.5197;930.3941;-457.2475;405.1934;1120.1239;NaN;NaN;NaN
-477.0220;260.7201;932.0570;-457.2521;406.2432;1120.4110;NaN;NaN;NaN
-477.2865;259.9205;933.7199;-457.2676;407.2929;1120.6980;NaN;NaN;NaN
-477.6357;258.9977;935.5008;-457.2977;408.1993;1120.9447;NaN;NaN;NaN
-478.0271;257.9930;937.3338;-457.3396;409.0967;1121.2321;-401.5669;398.8409;1451.9746
-478.4861;256.9246;939.2542;-457.4248;409.8935;1121.4719;-401.2349;398.5466;1452.1606
-478.9882;255.7355;941.1758;-457.4990;410.5949;1121.7426;-400.9111;398.2134;1452.3550
-479.5748;254.5117;943.2050;-457.5711;411.2703;1122.0993;-400.4582;397.7859;1452.4705
-480.1889;253.1744;945.2819;-457.6421;411.9019;1122.5131;-399.9871;397.1995;1452.5788
-480.8371;251.7654;947.5109;-457.7353;412.5166;1123.0309;-399.4536;396.2899;1452.7683
-481.5116;250.2508;949.8185;-457.8551;413.0799;1123.5697;-398.9859;395.3366;1453.0003
-482.2427;248.6033;952.3087;-457.9654;413.5981;1124.1648;-398.5877;394.3150;1453.3320
-483.0112;246.8429;954.9089;-458.1473;414.0343;1124.8545;-398.1448;393.2243;1453.7102
-483.7809;244.9962;957.6072;-458.3665;414.4003;1125.5344;-397.7785;392.0954;1454.1398
-484.6369;242.9770;960.4722;-458.6288;414.6744;1126.2478;-397.4455;390.9863;1454.6132
-485.5530;240.8103;963.4374;-458.9693;414.8511;1126.9649;-397.1468;389.8842;1455.0887
-486.5241;238.5255;966.4632;-459.3769;414.8511;1127.6589;-396.9287;388.7187;1455.5831
-487.5129;236.0672;969.5522;-459.8436;414.8511;1128.3113;-396.6796;387.4156;1456.0030
-488.5543;233.4403;972.7454;-460.3840;414.8415;1128.9759;-396.4347;385.9743;1456.3796
-489.6049;230.6333;975.9533;-461.1687;414.3073;1129.6860;-396.0901;384.7008;1456.6149
-490.7021;227.6481;979.2352;-462.1491;413.4502;1130.4156;-395.6928;383.6446;1456.7494
-491.8581;224.4623;982.6094;-463.2376;412.3009;1131.0451;-395.3356;382.6616;1456.8773
-493.0042;221.1102;986.0799;-464.3832;411.0375;1131.6141;-394.9449;381.7281;1456.9353
-494.1787;217.5222;989.6598;-465.6044;409.6292;1132.0800;-394.5382;380.9211;1456.9353
-495.3591;213.7113;993.3572;-466.8771;408.0061;1132.5004;-394.1046;380.2631;1456.9353
-496.5200;209.7406;997.1366;-468.2736;406.2560;1133.2311;-393.5470;379.6653;1456.8927
-497.6597;205.5806;1001.0736;-469.7518;404.3128;1133.7848;-393.0011;379.3356;1456.8215
-498.7647;201.2348;1005.1613;-471.2840;402.2195;1134.2982;-392.4793;379.3356;1456.7553
-499.8453;196.7424;1009.3574;-472.7839;400.0292;1134.8620;-391.9606;379.3356;1456.6668
-500.9141;192.0645;1013.6932;-474.3120;397.6699;1135.3880;-391.4286;379.4928;1456.5726
-501.9532;187.2789;1018.1963;-475.8168;395.1627;1135.9151;-390.9411;379.9539;1456.5614
-503.0066;182.3624;1022.8577;-477.1178;392.3388;1136.1310;-390.6380;381.0023;1456.5284
-504.0243;177.3145;1027.6565;-478.3751;389.2666;1136.4142;-390.3413;382.2771;1456.5094
-505.0207;172.1218;1032.6636;-479.7057;385.9629;1136.9860;-389.9343;383.4815;1456.5094
-505.9466;166.8404;1037.8291;-481.0768;382.5954;1137.6858;-389.4631;384.5999;1456.5094
-506.6867;161.3625;1043.1549;-482.3360;379.8448;1138.6746;-388.9764;385.3082;1456.5094
-507.5549;155.9419;1049.2613;-483.6154;377.0255;1139.6357;-388.5353;386.0535;1456.6020
-508.0517;150.4043;1055.5237;-485.0199;373.7900;1140.6494;-388.0209;386.8824;1456.6550
