LWJC_x;LWJC_y;LWJC_z;LEJC_x;LEJC_y;LEJC_z;LGHJC_x;LGHJC_y;LGHJC_z
22.9214;164.3027;899.3965;12.2254;264.3240;1133.0454;-15.0808;294.6869;1453.5477
22.2797;163.2880;899.6765;12.2120;263.7108;1133.1473;-15.2562;294.1523;1453.5686
21.6020;162.2174;900.0200;12.2405;263.1543;1133.2645;-15.4255;293.5754;1453.6199
20.8869;161.0716;900.4457;12.3220;262.6477;1133.3913;-15.5988;292.9605;1453.6961
20.1233;159.8380;900.9659;12.4577;262.2040;1133.5338;-15.7717;292.3016;1453.8033
19.2811;158.5078;901.5860;12.6592;261.8194;1133.6900;-15.9484;291.6012;1453.9370
18.3312;157.0673;902.3066;12.9399;261.4950;1133.8635;-16.1302;290.8606;1454.0988
17.2699;155.5117;903.1497;13.2932;261.2349;1134.0624;-16.3143;290.0924;1454.2872
16.0905;153.8325;904.1306;13.7253;261.0291;1134.2848;-16.4981;289.3271;1454.4894
14.7829;152.0271;905.2514;14.2386;260.8713;1134.5345;-16.6630;288.5585;1454.7231
13.3744;150.0840;906.5545;14.8289;260.7536;1134.8106;-16.7977;287.8281;1454.9838
11.8255;147.9923;908.0238;15.4891;260.6689;1135.1189;-16.8982;287.1053;1455.2880
10.1205;145.7587;909.6604;16.2154;260.6053;1135.4600;-16.9736;286.4193;1455.6227
8.2445;143.3877;911.4775;17.0053;260.5491;1135.8384;-17.0198;285.7851;1455.9856
6.1910;140.8809;913.4902;17.8515;260.4881;1136.2648;-17.0285;285.2105;1456.3859
3.9550;138.2372;915.7055;18.7430;260.4137;1136.7385;-17.0078;284.6984;1456.8166
1.5241;135.4585;918.1314;19.6744;260.3061;1137.2709;-16.9477;284.2540;1457.2891
-1.1028;132.5439;920.7830;20.6318;260.1497;1137.8586;-16.8720;283.8909;1457.7824
-3.9128;129.4814;923.6665;21.6028;259.9207;1138.5058;-16.7911;283.5966;1458.2929
-6.8827;126.2701;926.8038;22.5715;259.6063;1139.2114;-16.7012;283.3756;1458.8240
-10.0274;122.8981;930.1937;23.5246;259.1916;1139.9654;-16.6162;283.2098;1459.3714
-13.3494;119.3579;933.8419;24.4783;258.6294;1140.7958;-16.5721;283.0838;1459.9225
-16.8348;115.6503;937.7711;25.4104;257.9286;1141.6803;-16.5826;282.9962;1460.4603
-20.5196;111.7778;941.9436;26.2956;257.0928;1142.6058;-16.6569;282.8931;1460.9945
-24.3726;107.7438;946.3996;27.1278;256.1015;1143.5687;-16.8004;282.8112;1461.5056
-28.3832;103.5372;951.1411;27.8958;254.9449;1144.5699;-16.9999;282.7193;1462.0146
-32.5479;99.1535;956.1646;28.5919;253.6131;1145.5995;-17.2750;282.5924;1462.5123
-36.8526;94.6017;961.4694;29.2134;252.0953;1146.6596;-17.6401;282.4326;1462.9840
-41.3070;89.8783;967.0560;29.7562;250.3759;1147.7486;-18.0967;282.2569;1463.4166
-45.8938;84.9973;972.9217;30.2114;248.4495;1148.8606;-18.6287;282.0558;1463.8171
-50.6034;79.9723;979.0493;30.5824;246.2975;1150.0084;-19.2337;281.7963;1464.2045
-55.4344;74.8005;985.4552;30.8636;243.9279;1151.1824;-19.9033;281.5530;1464.5499
-60.3680;69.4969;992.1408;31.0561;241.3301;1152.3918;-20.6396;281.3042;1464.8560
-65.3901;64.0740;999.0978;31.1564;238.5036;1153.6408;-21.4351;281.0517;1465.1291
-70.4928;58.5449;1006.3433;31.1256;235.4920;1154.9029;-22.2480;280.7931;1465.3904
-75.6692;52.9239;1013.8842;30.9633;232.2711;1156.1928;-23.0657;280.5503;1465.6395
-80.9139;47.2328;1021.7364;30.6819;228.8291;1157.5310;-23.8871;280.3304;1465.8751
-86.2144;41.5147;1029.8860;30.2796;225.1701;1158.9221;-24.7120;280.1294;1466.1022
-91.5411;35.7678;1038.3689;29.7521;221.2988;1160.3697;-25.5589;279.9536;1466.3059
-96.8894;29.9916;1047.2085;29.1191;217.1815;1161.9145;-26.3826;279.8687;1466.4747
-102.2669;24.2083;1056.3896;28.3724;212.8373;1163.5590;-27.1954;279.8421;1466.6246
-107.6383;18.4536;1065.9072;27.5004;208.2899;1165.2982;-28.0063;279.8613;1466.7664
-113.0017;12.7478;1075.7661;26.4909;203.5600;1167.1322;-28.8337;279.9125;1466.8978
-118.3405;7.1072;1085.9503;25.3476;198.6692;1169.0569;-29.6655;280.0147;1467.0247
-123.6098;1.7429;1096.4223;24.0690;193.6352;1171.0958;-30.4941;280.0874;1467.1886
-128.7867;-3.4366;1107.1962;22.6580;188.4693;1173.2581;-31.3448;280.1643;1467.3699
-133.8670;-8.3238;1118.2182;21.1169;183.1944;1175.5404;-32.1948;280.2296;1467.5895
-138.8264;-12.9858;1129.4765;19.4405;177.8257;1177.9522;-33.0540;280.2951;1467.8483
-143.6872;-17.4349;1140.9368;17.6277;172.3797;1180.5081;-33.9252;280.3514;1468.1593
-148.4498;-21.6722;1152.5718;15.6672;166.8745;1183.2070;-34.8110;280.4137;1468.5237
-153.1296;-25.7260;1164.3702;13.5566;161.3222;1186.0546;-35.7011;280.5143;1468.9292
-157.7393;-29.5615;1176.2749;11.2961;155.7312;1189.0632;-36.5784;280.6390;1469.3875
-162.2576;-33.1345;1188.2181;8.8628;150.1512;1192.2154;-37.4682;280.7389;1469.9125
-166.6884;-36.4704;1200.1769;6.2651;144.5835;1195.5068;-38.3554;280.8359;1470.4972
-171.0383;-39.5631;1212.1364;3.5124;139.0183;1198.9599;-39.2053;280.9526;1471.1339
-175.3036;-42.4175;1224.0527;0.6172;133.4663;1202.5843;-40.0417;281.0921;1471.8161
-179.4903;-45.0487;1235.9268;-2.4228;127.9382;1206.3852;-40.8555;281.2682;1472.5368
-183.6356;-47.6447;1247.7558;-5.6070;122.4478;1210.3466;-41.6438;281.4823;1473.2967
-187.7637;-50.1066;1259.4779;-8.9346;116.9993;1214.4565;-42.4045;281.7365;1474.1001
-191.8726;-52.5426;1271.1347;-12.3932;111.6023;1218.7004;-43.1445;282.0321;1474.9353
-195.9692;-54.8754;1282.6880;-15.9939;106.2750;1223.1316;-43.8602;282.3793;1475.7848
-200.0287;-57.0991;1294.1091;-19.7205;101.0083;1227.7338;-44.5964;282.7468;1476.6564
-204.0443;-59.2260;1305.3892;-23.5493;95.8189;1232.5001;-45.3548;283.1196;1477.5500
-207.9953;-61.2489;1316.5022;-27.4628;90.7163;1237.4207;-46.1504;283.4677;1478.4699
-211.8896;-63.1824;1327.4339;-31.4481;85.7239;1242.4768;-46.9829;283.8119;1479.4202
-215.7454;-65.0475;1338.1924;-35.4914;80.8410;1247.6677;-47.8771;284.1387;1480.4038
-219.5629;-66.8167;1348.7801;-39.5895;76.0854;1252.9858;-48.8193;284.4625;1481.4164
-223.3422;-68.5184;1359.1763;-43.7273;71.4717;1258.4244;-49.8046;284.7623;1482.4764
-227.1129;-70.1738;1369.3816;-47.9066;67.0086;1263.9714;-50.7938;285.0654;1483.5731
-230.8743;-71.7742;1379.3833;-52.1147;62.7034;1269.6196;-51.7772;285.3597;1484.7105
-234.6209;-73.3243;1389.1748;-56.3285;58.5505;1275.3499;-52.7769;285.6678;1485.8757
-238.3510;-74.8365;1398.7581;-60.5554;54.5820;1281.1847;-53.7591;285.9722;1487.0632
-242.0570;-76.3111;1408.1187;-64.7988;50.7985;1287.1246;-54.7324;286.2923;1488.2702
-245.7524;-77.7667;1417.2583;-69.0193;47.1896;1293.1036;-55.7179;286.6111;1489.5103
-249.4441;-79.2138;1426.1960;-73.2141;43.7804;1299.1101;-56.6784;286.9481;1490.7743
-253.1218;-80.6416;1434.9234;-77.3823;40.5663;1305.1394;-57.6182;287.3142;1492.0715
-256.7817;-82.0673;1443.4510;-81.5094;37.5450;1311.1932;-58.5674;287.7143;1493.3617
-260.4102;-83.5026;1451.7855;-85.5900;34.7070;1317.2726;-59.5191;288.1354;1494.6738
-263.9931;-84.9572;1459.9251;-89.6217;32.0657;1323.3523;-60.4638;288.5803;1496.0219
-267.5050;-86.4624;1467.8685;-93.6077;29.6189;1329.4247;-61.4024;289.0406;1497.4125
-270.9488;-88.0086;1475.6131;-97.5575;27.3638;1335.4767;-62.3454;289.5204;1498.8272
-274.2873;-89.6216;1483.1695;-101.4565;25.2957;1341.4926;-63.3079;290.0109;1500.2640
-277.5230;-91.2801;1490.5258;-105.2936;23.4162;1347.4669;-64.3124;290.5128;1501.7183
-280.6450;-92.9866;1497.6748;-109.0763;21.7291;1353.4002;-65.3766;291.0178;1503.2237
