XWJC_x;XWJC_y;XWJC_z;XEJC_x;XEJC_y;XEJC_z;XGHJC_x;XGHJC_y;XGHJC_z
17.5480;204.4251;789.1546;NaN;NaN;NaN;NaN;NaN;NaN
17.4756;204.4251;789.0623;NaN;NaN;NaN;NaN;NaN;NaN
17.3651;204.2082;789.0105;NaN;NaN;NaN;NaN;NaN;NaN
17.1938;204.2082;788.7851;NaN;NaN;NaN;NaN;NaN;NaN
17.0493;204.2082;788.6603;NaN;NaN;NaN;NaN;NaN;NaN
16.9639;204.4956;788.6460;NaN;NaN;NaN;NaN;NaN;NaN
16.7558;204.5986;788.5821;NaN;NaN;NaN;NaN;NaN;NaN
16.6126;204.5986;788.4900;NaN;NaN;NaN;NaN;NaN;NaN
16.3793;204.5986;788.4900;NaN;NaN;NaN;NaN;NaN;NaN
16.1720;204.4956;788.4900;NaN;NaN;NaN;NaN;NaN;NaN
16.0402;204.4947;788.7374;NaN;NaN;NaN;NaN;NaN;NaN
15.9453;204.4753;788.7822;NaN;NaN;NaN;NaN;NaN;NaN
15.5797;204.1235;789.0399;NaN;NaN;NaN;NaN;NaN;NaN
15.3650;203.7471;789.5913;NaN;NaN;NaN;NaN;NaN;NaN
15.3060;202.7666;790.1340;NaN;NaN;NaN;NaN;NaN;NaN
15.3060;201.9117;790.8706;NaN;NaN;NaN;NaN;NaN;NaN
15.1531;199.9377;791.1187;NaN;NaN;NaN;NaN;NaN;NaN
15.1389;198.1865;792.1647;NaN;NaN;NaN;NaN;NaN;NaN
15.0024;195.6899;792.5372;NaN;NaN;NaN;NaN;NaN;NaN
14.6944;193.1792;793.7336;NaN;NaN;NaN;NaN;NaN;NaN
14.6944;189.2632;795.1425;NaN;NaN;NaN;NaN;NaN;NaN
14.6944;185.3938;796.7451;NaN;NaN;NaN;NaN;NaN;NaN
14.9111;180.8821;798.8098;NaN;NaN;NaN;NaN;NaN;NaN
15.2375;175.6784;801.0619;NaN;NaN;NaN;NaN;NaN;NaN
15.6901;169.9768;803.8087;NaN;NaN;NaN;NaN;NaN;NaN
16.1290;163.5268;806.7848;NaN;NaN;NaN;NaN;NaN;NaN
16.7075;156.4620;810.1748;NaN;NaN;NaN;NaN;NaN;NaN
17.4003;148.9426;813.9415;NaN;NaN;NaN;NaN;NaN;NaN
17.8268;140.7044;817.8602;NaN;NaN;NaN;NaN;NaN;NaN
18.3527;132.0312;822.3820;NaN;NaN;NaN;NaN;NaN;NaN
18.9280;122.8798;827.2703;NaN;NaN;NaN;NaN;NaN;NaN
