XWJC_x;XWJC_y;XWJC_z;XEJC_x;XEJC_y;XEJC_z;XGHJC_x;XGHJC_y;XGHJC_z
-356.5418;120.7106;840.7487;-372.0276;208.0052;1042.6789;-373.0758;212.3399;1303.9214
-356.6277;120.7066;840.8184;-372.0276;208.0513;1042.7265;-373.0504;212.3961;1303.9509
-356.7089;120.7055;840.8437;-372.0276;208.0958;1042.7595;-373.0499;212.4534;1303.9867
-356.8394;120.6911;840.8483;-372.0361;208.1287;1042.8124;-373.0170;212.5079;1304.0184
-356.9405;120.6697;840.8731;-372.0470;208.1523;1042.8591;-372.9817;212.5604;1304.0432
-357.0615;120.6423;840.8872;-372.0648;208.2156;1042.9126;-372.9702;212.6216;1304.1022
-357.1955;120.6369;840.9175;-372.1171;208.2620;1042.9684;-372.9300;212.6750;1304.1442
-357.3069;120.6369;840.9912;-372.1764;208.3108;1043.0542;-372.8898;212.7227;1304.1917
-357.4518;120.6423;841.0338;-372.2673;208.3544;1043.1255;-372.8290;212.7613;1304.2260
-357.6645;120.6400;841.1020;-372.3888;208.3870;1043.2325;-372.7419;212.7933;1304.2572
-357.8534;120.6576;841.2155;-372.4938;208.4171;1043.2898;-372.6965;212.8450;1304.2838
-358.0339;120.6632;841.2562;-372.6282;208.4673;1043.3845;-372.6557;212.8740;1304.3260
-358.1910;120.8695;842.7392;-372.7632;208.4973;1043.4725;-372.6005;212.9076;1304.3718
-358.4670;120.8695;842.7822;-372.8981;208.5319;1043.5585;-372.5625;212.9146;1304.4283
-358.7539;120.8695;842.8397;-372.9946;208.5634;1043.5986;-372.5579;212.9561;1304.4858
-359.0179;120.8593;842.8528;-373.1518;208.6160;1043.6939;-372.4059;212.9622;1304.5630
-359.2737;120.8100;842.9039;-373.2714;208.6317;1043.7295;-372.3721;212.9622;1304.6231
-359.5873;120.8100;842.9997;-373.3963;208.6668;1043.7890;-372.3275;212.9722;1304.6870
-359.8530;120.8100;843.0966;-373.5455;208.7239;1043.8983;-372.2495;212.9804;1304.7522
-360.1844;120.8181;843.1439;-373.6976;208.7561;1043.9841;-372.1792;213.0248;1304.8261
-360.4968;120.8181;843.2013;-373.7999;208.8347;1044.0611;-372.1792;213.1150;1304.8926
-360.8435;120.8181;843.3004;-373.9514;208.8989;1044.1717;-372.1792;213.1691;1304.9701
-361.1846;120.7765;843.3456;-374.0849;208.9858;1044.2614;-372.2024;213.2236;1305.0507
-361.5662;120.7310;843.4309;-374.2063;209.0548;1044.3101;-372.2429;213.3056;1305.1340
-361.9025;120.6954;843.5876;-374.3804;209.0744;1044.3193;-372.2429;213.3418;1305.1914
-362.3145;120.6685;843.6316;-374.5523;209.1346;1044.3807;-372.2429;213.3616;1305.2627
-362.7421;120.6428;843.7390;-374.7651;209.2476;1044.4921;-372.1833;213.3654;1305.3338
-363.1793;120.5603;843.9055;-375.0134;209.3629;1044.5966;-372.0965;213.3654;1305.4024
-363.5724;120.5042;844.0477;-375.2667;209.4931;1044.7028;-372.0381;213.3616;1305.4916
-363.9169;120.4096;844.2043;-375.5557;209.6077;1044.7976;-371.9275;213.3272;1305.5586
-364.2568;120.3027;844.3359;-375.8711;209.7279;1044.8500;-371.8260;213.2955;1305.6216
-364.6863;120.1424;844.4606;-376.1989;209.9062;1044.9323;-371.7990;213.2955;1305.6868
-365.1453;120.0287;844.6563;-376.5317;210.0436;1044.9478;-371.7739;213.2955;1305.7605
-365.4860;119.8853;844.8805;-376.8956;210.2710;1045.0194;-371.7577;213.3189;1305.8562
-365.8605;119.6810;845.1936;-377.3145;210.5201;1045.1194;-371.7184;213.3189;1305.9222
-366.3311;119.4750;845.3948;-377.7371;210.7828;1045.1744;-371.6647;213.3189;1306.0024
-366.6570;119.2474;845.6939;-378.2112;211.1094;1045.2441;-371.5736;213.2839;1306.0565
-366.9186;118.9131;846.0322;-378.7004;211.4223;1045.3107;-371.5080;213.2554;1306.1044
-367.3119;118.6645;846.3519;-379.2174;211.7515;1045.3174;-371.3856;213.1422;1306.1663
-367.5932;118.3018;846.7606;-379.7755;212.1201;1045.3478;-371.2516;213.0201;1306.1931
-367.8449;117.9094;847.1386;-380.3330;212.6055;1045.4094;-371.1576;212.9590;1306.2088
-368.1356;117.4777;847.6041;-380.9537;213.0828;1045.4638;-371.0614;212.9590;1306.2242
-368.3321;116.9648;848.0854;-381.6466;213.6312;1045.5164;-370.8818;212.8664;1306.2259
-368.3672;116.4683;848.6931;-382.3319;214.1993;1045.5301;-370.8071;212.8637;1306.2748
-368.4371;115.8010;849.3265;-383.1338;214.8377;1045.5359;-370.6186;212.7635;1306.3189
-368.4991;115.1632;850.0782;-383.9701;215.5405;1045.5399;-370.4109;212.7107;1306.3232
-368.6557;114.3879;850.8800;-384.9179;216.3012;1045.5491;-370.1250;212.6138;1306.3448
-368.6768;113.4343;851.8897;-385.9990;217.2302;1045.5584;-369.8243;212.3788;1306.3448
-368.6787;112.3468;852.9375;-387.1506;218.3106;1045.5584;-369.5176;212.0978;1306.3448
-368.7395;111.1401;854.3866;-388.3497;219.5350;1045.5584;-369.3279;211.7052;1306.3317
-368.7395;109.5976;855.9404;-389.6641;220.9522;1045.5498;-369.1781;211.3318;1306.2372
-368.7395;107.9935;857.9717;-391.0041;222.5460;1045.5473;-369.0992;210.7525;1306.1298
-368.2414;105.9444;860.0815;-392.5187;224.2692;1045.5473;-369.0330;210.0988;1306.0186
-367.9940;103.8088;862.7784;-394.1233;226.2099;1045.5473;-368.9577;209.4160;1305.8293
-367.7809;101.4937;865.8933;-395.8663;228.1553;1045.6266;-368.9577;208.8178;1305.6090
-367.7671;99.0633;869.4610;-397.7427;230.2597;1045.8284;-368.9577;208.2889;1305.3020
-367.4829;96.2339;873.4633;-399.6350;232.4436;1046.0853;-369.0307;208.2889;1305.1505
-367.2753;93.1431;878.3428;-401.5973;234.6436;1046.4569;-369.2526;208.2889;1305.0780
-367.2753;89.5302;883.8257;-403.3015;236.9534;1046.8695;-369.8628;208.4427;1305.0780
-367.2753;85.7638;889.9806;-404.7860;239.2792;1047.2682;-370.6226;209.1136;1305.0780
-367.7506;81.7401;896.6813;-406.0597;241.4824;1047.7036;-371.3941;209.2631;1305.2923
-368.6299;77.5360;903.9128;-407.4931;243.7500;1048.4403;-371.5027;209.2631;1305.2923
-369.5997;72.5895;912.3208;-408.8213;245.4501;1049.0203;-371.5027;209.2631;1305.2923
-370.8305;67.8728;921.0281;-410.2592;246.8218;1049.6711;-371.5027;208.3436;1305.1917
-372.6903;62.5554;929.9884;-411.9858;247.5988;1050.3472;-371.0203;207.1987;1304.7930
-374.5784;57.1179;939.7671;-413.9645;247.5988;1051.1052;-370.5942;206.3834;1304.4161
-376.8237;51.5100;950.2103;-415.3268;247.5988;1051.7182;-370.4783;204.4965;1304.0972
-379.3711;45.6301;961.0716;-417.2088;247.4253;1052.4644;-370.4783;204.1170;1304.0972
-382.2412;39.2893;972.7463;-419.0420;246.0620;1053.0612;-370.4783;204.1170;1304.0972
-385.4502;32.7684;984.7646;-421.0623;244.1720;1053.7858;-370.5795;204.1170;1304.2566
-389.0697;26.1021;997.2574;-422.8682;241.3836;1054.2957;-371.0108;204.3966;1304.9813
-392.9221;19.5132;1010.3406;-424.9216;237.7973;1054.8820;-371.3566;204.6259;1305.7687
-397.0661;12.7253;1023.5483;-427.4683;233.3614;1056.0292;-371.6083;206.1812;1306.7291
-401.7187;5.2274;1037.1289;-429.9746;228.2200;1056.8641;-371.8395;206.7362;1307.5351
-406.6230;-2.5130;1050.8365;-432.6624;222.3526;1057.9197;-372.3416;207.7053;1308.5839
