LWJC_x;LWJC_y;LWJC_z;LEJC_x;LEJC_y;LEJC_z;LGHJC_x;LGHJC_y;LGHJC_z
44.8962;208.6769;934.1619;20.4261;311.0459;1164.7495;-27.8504;339.2745;1486.3221
45.4722;208.9497;934.5610;20.5189;311.9652;1164.8625;-28.6221;338.9948;1486.2271
46.1839;208.9497;935.0460;21.0444;312.4576;1164.9448;-29.7636;338.7388;1485.8896
47.0680;208.9497;935.6493;21.5130;313.1187;1164.9448;-30.8389;338.4851;1485.6509
48.1928;208.7617;936.3910;22.1712;313.6656;1164.9448;-31.9603;338.2573;1485.3841
49.6212;208.2170;937.2963;22.8467;314.4103;1164.9448;-32.8734;338.2573;1485.1854
51.3550;207.3921;938.4634;23.7980;314.9901;1164.9448;-33.9415;338.2573;1484.8935
53.5944;206.2471;939.9271;24.5206;315.7159;1165.3316;-34.1014;339.1797;1484.8935
56.2617;204.7490;941.6593;25.1478;316.7862;1165.7490;-34.3235;339.7390;1484.8935
59.2985;202.8274;943.7417;26.0716;317.8093;1166.1372;-34.5254;340.3193;1485.0661
62.4880;200.4149;946.2273;27.1454;319.0005;1166.5781;-34.6244;340.9634;1485.3306
65.9213;197.7013;949.0103;28.6743;319.7937;1167.1021;-34.8631;341.7673;1485.4459
69.5699;194.5643;952.1737;30.4427;320.5394;1167.7753;-35.1883;342.3065;1485.5315
73.4705;191.0384;955.6966;32.4948;321.1004;1168.4995;-35.7397;342.9424;1485.5315
77.5419;187.1033;959.5583;34.7785;321.5339;1169.3817;-36.1080;343.3920;1485.5315
81.7805;182.6118;963.8404;37.3047;321.5818;1170.3476;-36.7994;344.5336;1485.3813
86.2405;177.6838;968.5930;39.9815;321.5818;1171.3850;-37.2383;345.6454;1485.2661
90.8978;172.3675;973.8537;42.7791;321.5818;1172.4769;-37.7093;346.8168;1485.2270
95.0746;165.9475;980.4545;45.7593;321.1864;1173.6253;-37.8187;347.9472;1485.2250
99.8257;159.6053;987.0150;48.8030;320.6763;1174.8543;-37.8921;348.7324;1485.0311
104.8288;152.9522;994.1796;52.0153;319.9419;1176.2252;-38.3666;349.3549;1485.0154
110.0427;146.0121;1001.9211;55.4141;318.8402;1177.7304;-39.1193;350.8753;1484.3120
115.4656;138.9253;1010.2119;59.0790;317.0412;1178.8522;-45.8852;355.0109;1482.2942
120.9964;131.6441;1019.0894;62.3633;316.2650;1180.8943;-47.1936;355.9858;1481.8370
126.4839;124.2322;1028.7159;65.9548;314.8909;1182.9219;-47.6115;356.3201;1481.5328
132.0985;116.5790;1038.7507;69.8201;313.0963;1185.1569;-48.2411;356.7953;1481.0553
137.8140;109.1037;1049.2582;73.7089;311.1712;1187.5223;-48.6012;357.2980;1480.6908
143.4215;101.4625;1060.4014;77.7824;308.7874;1190.1734;-48.9801;358.2098;1480.2421
148.8926;93.9706;1072.3201;81.9370;306.2862;1193.0318;-49.3300;359.4722;1479.6147
154.0545;86.3707;1084.7564;86.1292;303.4932;1196.0852;-49.5425;360.4554;1479.2228
158.7858;78.5552;1097.8132;90.3143;300.2996;1199.2963;-49.5425;361.7803;1479.2228
163.6463;71.2590;1111.7226;94.3846;297.0399;1202.8882;-49.5425;363.1080;1479.2228
168.1222;63.6067;1126.2442;98.6858;293.4520;1207.0455;-44.4793;363.3071;1480.6034
172.3908;56.3375;1141.1406;102.8335;289.6685;1211.2309;-43.9019;364.3532;1480.7345
176.3153;49.2063;1156.8255;106.9506;285.5138;1215.6399;-43.5839;365.2432;1480.8732
180.0946;42.1665;1172.5360;110.7231;280.7248;1220.2666;-43.0649;366.4080;1481.0548
183.9468;35.9167;1188.9427;114.3276;275.9873;1224.9633;-42.7890;367.0548;1481.4059
187.0818;29.3828;1205.5554;117.8778;270.9744;1229.9415;-42.7890;367.6089;1481.7036
189.9059;23.0849;1222.4952;121.5314;265.6104;1235.3296;-42.7890;367.7507;1481.9375
191.6914;16.8060;1239.6291;125.1003;260.1070;1241.0408;-42.7890;367.7507;1482.3835
