RWJC_x;RWJC_y;RWJC_z;REJC_x;REJC_y;REJC_z;RGHJC_x;RGHJC_y;RGHJC_z
-476.9025;100.0329;1212.1481;-476.4749;336.7202;1152.3805;-374.9819;374.6286;1461.1746
-477.3240;100.4979;1213.0165;-477.2254;337.0817;1152.4795;-375.2644;374.4731;1461.2047
-477.8183;101.0748;1213.8659;-478.0175;337.5013;1152.6184;-375.5336;374.3376;1461.2047
-478.4391;101.6874;1214.6442;-478.8564;337.9937;1152.7704;-375.7688;374.2002;1461.2047
-479.0599;102.3001;1215.4224;-479.6953;338.4862;1152.9223;-376.0041;374.0629;1461.1523
-479.8287;102.9153;1216.0831;-480.5459;338.9840;1153.0171;-376.2451;373.9101;1461.0861
-480.6765;103.5353;1216.7178;-481.4360;339.5007;1153.1575;-376.4803;373.8007;1460.9984
-481.6266;104.1729;1217.3173;-482.3538;340.0565;1153.3392;-376.6887;373.8007;1460.8691
-482.6157;104.8099;1217.8943;-483.2665;340.5714;1153.5318;-376.8938;373.8007;1460.7281
-483.6479;105.4447;1218.4484;-484.2222;341.1126;1153.8010;-377.0391;373.9611;1460.5390
-484.7600;106.0936;1218.9874;-485.2201;341.6309;1154.1814;-377.1320;374.2942;1460.2962
-485.9201;106.7693;1219.5100;-486.1747;342.1430;1154.4520;-377.2613;374.6234;1460.0800
-487.1173;107.4431;1220.0350;-487.0462;342.6640;1154.6349;-377.4307;374.9101;1459.9301
-488.3780;108.1382;1220.5993;-487.9017;343.1902;1154.8493;-377.5721;375.2065;1459.7667
-489.6617;108.8505;1221.2114;-488.7286;343.6964;1155.0595;-377.7122;375.4728;1459.5917
-491.0146;109.5625;1221.8777;-489.5220;344.1943;1155.2166;-377.8645;375.6814;1459.4263
-492.3901;110.3199;1222.6168;-490.2768;344.7210;1155.3368;-378.0348;375.8663;1459.2811
-493.7953;111.1015;1223.4152;-491.0059;345.2428;1155.4290;-378.2064;375.9792;1459.1212
-495.2369;111.9151;1224.2472;-491.6927;345.7713;1155.5226;-378.3618;376.0830;1458.9200
-496.7171;112.7738;1225.1096;-492.3108;346.2848;1155.5483;-378.5759;376.1790;1458.7589
-498.2297;113.6320;1225.9926;-492.8989;346.8190;1155.5483;-378.7848;376.2719;1458.5717
-499.7712;114.5280;1226.8986;-493.4402;347.3639;1155.5483;-378.9865;376.3855;1458.3507
-501.3004;115.4623;1227.8081;-493.9189;347.9050;1155.4697;-379.2287;376.5286;1458.1564
-502.8636;116.4462;1228.7595;-494.3442;348.4235;1155.3614;-379.5043;376.7177;1457.9649
-504.4446;117.4682;1229.7443;-494.7346;349.0075;1155.2014;-379.8038;376.9098;1457.7643
-506.0253;118.5434;1230.7122;-495.0695;349.5890;1155.0074;-380.0903;377.1849;1457.5244
-507.5902;119.6816;1231.6490;-495.3542;350.2266;1154.7637;-380.3985;377.5126;1457.2571
-509.1483;120.8602;1232.5724;-495.6081;350.8865;1154.4957;-380.7041;377.8729;1456.9588
-510.7083;122.0909;1233.4436;-495.7905;351.5975;1154.1609;-381.0338;378.3105;1456.6503
-512.1842;123.3719;1234.2435;-495.8907;352.3380;1153.7996;-381.3805;378.7568;1456.3407
