LWJC_x;LWJC_y;LWJC_z;LEJC_x;LEJC_y;LEJC_z;LGHJC_x;LGHJC_y;LGHJC_z
11.6535;177.9045;786.0411;NaN;NaN;NaN;NaN;NaN;NaN
11.8081;178.1787;786.0029;NaN;NaN;NaN;NaN;NaN;NaN
11.9719;178.4695;785.9771;NaN;NaN;NaN;NaN;NaN;NaN
12.1121;178.7870;786.0471;NaN;NaN;NaN;NaN;NaN;NaN
12.2842;179.1162;786.1413;NaN;NaN;NaN;NaN;NaN;NaN
12.4552;179.3691;786.1825;NaN;NaN;NaN;NaN;NaN;NaN
12.6374;179.6255;786.2649;NaN;NaN;NaN;NaN;NaN;NaN
12.8657;179.8576;786.3997;NaN;NaN;NaN;NaN;NaN;NaN
13.2155;180.1061;786.7198;NaN;NaN;NaN;NaN;NaN;NaN
13.4456;180.3022;786.8987;NaN;NaN;NaN;NaN;NaN;NaN
13.7836;180.4246;787.1653;NaN;NaN;NaN;NaN;NaN;NaN
14.0737;180.4621;787.3762;NaN;NaN;NaN;NaN;NaN;NaN
14.4958;180.4321;787.4790;NaN;NaN;NaN;NaN;NaN;NaN
15.0044;180.2158;787.6425;NaN;NaN;NaN;NaN;NaN;NaN
15.5911;179.8253;787.9075;NaN;NaN;NaN;NaN;NaN;NaN
16.3081;179.1817;788.2572;NaN;NaN;NaN;NaN;NaN;NaN
17.2860;178.3041;788.8227;NaN;NaN;NaN;NaN;NaN;NaN
18.4275;177.1141;789.5281;NaN;NaN;NaN;NaN;NaN;NaN
19.7834;175.6004;790.4765;NaN;NaN;NaN;NaN;NaN;NaN
21.3372;173.6858;791.5929;NaN;NaN;NaN;NaN;NaN;NaN
23.0764;171.3472;792.8933;NaN;NaN;NaN;NaN;NaN;NaN
24.9222;168.4885;794.3048;NaN;NaN;NaN;NaN;NaN;NaN
27.1547;165.1396;796.1653;NaN;NaN;NaN;NaN;NaN;NaN
29.5544;161.2775;798.2748;NaN;NaN;NaN;NaN;NaN;NaN
32.3085;156.9086;800.8269;NaN;NaN;NaN;NaN;NaN;NaN
35.2504;151.9496;803.9359;NaN;NaN;NaN;NaN;NaN;NaN
38.3508;146.4154;807.3262;NaN;NaN;NaN;NaN;NaN;NaN
41.7356;140.3539;811.1773;NaN;NaN;NaN;NaN;NaN;NaN
45.4129;133.7874;815.7063;NaN;NaN;NaN;NaN;NaN;NaN
49.1890;126.7190;820.6497;NaN;NaN;NaN;NaN;NaN;NaN
53.1560;119.1979;826.1269;NaN;NaN;NaN;NaN;NaN;NaN
57.3000;111.2506;832.1638;NaN;NaN;NaN;NaN;NaN;NaN
61.6207;102.9721;838.8718;NaN;NaN;NaN;NaN;NaN;NaN
66.0899;94.3508;846.2232;NaN;NaN;NaN;NaN;NaN;NaN
70.6578;85.4805;854.2058;NaN;NaN;NaN;NaN;NaN;NaN
75.3423;76.4051;862.8368;NaN;NaN;NaN;NaN;NaN;NaN
80.1198;67.1533;872.1310;NaN;NaN;NaN;NaN;NaN;NaN
84.9648;57.7759;882.0316;NaN;NaN;NaN;NaN;NaN;NaN
89.8410;48.3302;892.5491;NaN;NaN;NaN;NaN;NaN;NaN
94.8586;38.8964;903.9024;NaN;NaN;NaN;NaN;NaN;NaN
99.7387;29.6128;915.8813;NaN;NaN;NaN;NaN;NaN;NaN
104.5014;20.4188;928.2361;NaN;NaN;NaN;NaN;NaN;NaN
109.2206;11.3687;941.0646;NaN;NaN;NaN;NaN;NaN;NaN
113.8790;2.5220;954.3476;NaN;NaN;NaN;NaN;NaN;NaN
118.4449;-6.0649;968.0227;NaN;NaN;NaN;NaN;NaN;NaN
122.9270;-14.4756;981.9922;NaN;NaN;NaN;NaN;NaN;NaN
127.2936;-22.5804;996.2261;NaN;NaN;NaN;NaN;NaN;NaN
131.6889;-30.5387;1010.5798;NaN;NaN;NaN;NaN;NaN;NaN
135.9519;-38.1797;1025.0717;NaN;NaN;NaN;NaN;NaN;NaN
140.0405;-45.4531;1039.6852;NaN;NaN;NaN;NaN;NaN;NaN
143.9615;-52.3713;1054.3482;NaN;NaN;NaN;NaN;NaN;NaN
147.7275;-58.9179;1069.0108;NaN;NaN;NaN;NaN;NaN;NaN
151.3026;-65.0977;1083.5747;NaN;NaN;NaN;NaN;NaN;NaN
154.8483;-71.0547;1097.9552;NaN;NaN;NaN;NaN;NaN;NaN
158.2092;-76.6470;1112.1923;NaN;NaN;NaN;NaN;NaN;NaN
161.3931;-81.9423;1126.2096;NaN;NaN;NaN;NaN;NaN;NaN
164.4151;-86.9583;1140.0233;NaN;NaN;NaN;NaN;NaN;NaN
167.2625;-91.7099;1153.5396;NaN;NaN;NaN;NaN;NaN;NaN
169.8918;-96.1590;1166.7319;NaN;NaN;NaN;NaN;NaN;NaN
172.3220;-100.3676;1179.5817;NaN;NaN;NaN;NaN;NaN;NaN
174.4286;-104.2003;1192.1564;NaN;NaN;NaN;NaN;NaN;NaN
176.3392;-107.8115;1204.3622;NaN;NaN;NaN;NaN;NaN;NaN
178.0816;-111.2386;1216.1208;NaN;NaN;NaN;NaN;NaN;NaN
179.6360;-114.4776;1227.4424;NaN;NaN;NaN;NaN;NaN;NaN
181.0038;-117.5376;1238.2903;NaN;NaN;NaN;NaN;NaN;NaN
182.2057;-120.4476;1248.6745;NaN;NaN;NaN;NaN;NaN;NaN
183.2115;-123.1875;1258.5689;NaN;NaN;NaN;NaN;NaN;NaN
184.0550;-125.8051;1267.9440;NaN;NaN;NaN;NaN;NaN;NaN
184.7249;-128.2728;1276.8555;NaN;NaN;NaN;NaN;NaN;NaN
185.2161;-130.5976;1285.2411;NaN;NaN;NaN;NaN;NaN;NaN
185.5587;-132.7954;1293.1562;NaN;NaN;NaN;NaN;NaN;NaN
185.7714;-134.8794;1300.5962;NaN;NaN;NaN;NaN;NaN;NaN
185.8681;-136.8502;1307.5726;NaN;NaN;NaN;NaN;NaN;NaN
185.8484;-138.7208;1314.0747;NaN;NaN;NaN;NaN;NaN;NaN
185.7173;-140.4924;1320.1028;NaN;NaN;NaN;NaN;NaN;NaN
185.4921;-142.1762;1325.6871;NaN;NaN;NaN;NaN;NaN;NaN
185.1792;-143.7760;1330.8395;NaN;NaN;NaN;NaN;NaN;NaN
184.7729;-145.2823;1335.5987;NaN;NaN;NaN;NaN;NaN;NaN
184.2785;-146.6891;1339.9652;NaN;NaN;NaN;NaN;NaN;NaN
183.7157;-148.0137;1343.9614;NaN;NaN;NaN;NaN;NaN;NaN
183.0987;-149.2672;1347.6214;NaN;NaN;NaN;NaN;NaN;NaN
182.4229;-150.4491;1350.9641;NaN;NaN;NaN;NaN;NaN;NaN
181.7016;-151.5579;1353.9953;NaN;NaN;NaN;NaN;NaN;NaN
180.9436;-152.6036;1356.7472;NaN;NaN;NaN;NaN;NaN;NaN
180.1410;-153.5895;1359.2321;NaN;NaN;NaN;NaN;NaN;NaN
179.2955;-154.5168;1361.4733;NaN;NaN;NaN;NaN;NaN;NaN
178.4218;-155.4027;1363.5139;NaN;NaN;NaN;NaN;NaN;NaN
177.5331;-156.2409;1365.3365;NaN;NaN;NaN;NaN;NaN;NaN
176.6398;-157.0393;1366.9524;NaN;NaN;NaN;NaN;NaN;NaN
175.7411;-157.7994;1368.3859;NaN;NaN;NaN;NaN;NaN;NaN
174.8659;-158.5409;1369.6400;NaN;NaN;NaN;NaN;NaN;NaN
