RWJC_x;RWJC_y;RWJC_z;REJC_x;REJC_y;REJC_z;RGHJC_x;RGHJC_y;RGHJC_z
-381.9511;122.2946;831.0207;-405.9720;207.9987;1033.2596;-414.1159;210.3827;1293.5364
-381.9203;122.1453;831.1020;-406.0893;207.9205;1033.2592;-414.0858;210.2031;1293.5225
-381.8514;121.9619;831.1994;-406.2174;207.8448;1033.2522;-414.0589;210.0253;1293.5073
-381.7391;121.7355;831.3088;-406.3603;207.7759;1033.2453;-414.0303;209.8450;1293.4924
-381.5813;121.4634;831.4318;-406.5214;207.7124;1033.2352;-413.9960;209.6586;1293.4768
-381.3711;121.1401;831.5860;-406.7009;207.6619;1033.2211;-413.9638;209.4682;1293.4625
-381.1008;120.7593;831.7755;-406.9030;207.6218;1033.2017;-413.9250;209.2729;1293.4500
-380.7631;120.3115;832.0126;-407.1348;207.5945;1033.1817;-413.8755;209.0658;1293.4430
-380.3531;119.7915;832.2962;-407.4050;207.5766;1033.1626;-413.8125;208.8499;1293.4406
-379.8594;119.1886;832.6476;-407.7230;207.5673;1033.1457;-413.7255;208.6210;1293.4433
-379.2768;118.4997;833.0756;-408.1030;207.5665;1033.1358;-413.6039;208.3824;1293.4484
-378.5950;117.7134;833.5991;-408.5478;207.5722;1033.1348;-413.4670;208.1460;1293.4598
-377.7951;116.8183;834.2313;-409.0654;207.5796;1033.1430;-413.3242;207.9155;1293.4803
-376.8828;115.7934;834.9258;-409.6596;207.5928;1033.1677;-413.2052;207.7239;1293.5128
-375.8307;114.6270;835.7552;-410.3344;207.6143;1033.2123;-413.1235;207.5748;1293.5652
-374.6323;113.3125;836.7482;-411.0834;207.6385;1033.2745;-413.1038;207.4787;1293.6420
-373.2803;111.8324;837.9230;-411.9124;207.6598;1033.3620;-413.1448;207.4427;1293.7478
-371.7643;110.1713;839.3121;-412.8090;207.6826;1033.4702;-413.2659;207.4847;1293.8886
-370.0898;108.3136;840.9337;-413.7723;207.6992;1033.6054;-413.4500;207.5995;1294.0675
-368.2486;106.2440;842.8218;-414.7978;207.7147;1033.7707;-413.6997;207.7855;1294.2906
-366.2378;103.9601;845.0253;-415.8829;207.7330;1033.9775;-414.0112;208.0237;1294.5637
-364.0673;101.4528;847.5612;-417.0348;207.7407;1034.2368;-414.3081;208.2954;1294.8628
-361.7338;98.7133;850.4452;-418.2378;207.7272;1034.5304;-414.6143;208.5719;1295.1992
-359.2501;95.7514;853.6931;-419.4890;207.6815;1034.8655;-414.9105;208.8382;1295.5654
-356.6083;92.5592;857.3688;-420.7934;207.5874;1035.2426;-415.1732;209.0928;1295.9515
-353.8351;89.1560;861.4499;-422.1434;207.4386;1035.6658;-415.3978;209.3422;1296.3598
-350.9432;85.5990;865.9951;-423.5316;207.2036;1036.1308;-415.5872;209.5894;1296.7919
-347.9440;81.8565;871.0141;-424.9489;206.8781;1036.6343;-415.7454;209.8493;1297.2425
-344.8496;77.9244;876.5120;-426.3857;206.4373;1037.1806;-415.8729;210.1374;1297.7096
-341.6736;73.8185;882.5122;-427.8198;205.8575;1037.7623;-415.9846;210.4705;1298.1868
-338.4301;69.5494;889.0306;-429.2506;205.1123;1038.3926;-416.0497;210.8547;1298.6625
-335.1204;65.1152;896.0471;-430.6511;204.1808;1039.0609;-416.0918;211.2541;1299.1545
-331.7489;60.5018;903.5310;-432.0302;202.9807;1039.8089;-416.0972;211.6490;1299.6639
-328.3488;55.7520;911.5175;-433.3544;201.4767;1040.6219;-416.0443;212.0778;1300.1685
-324.8823;50.7758;919.9552;-434.5955;199.6468;1041.4957;-415.9963;212.5194;1300.7018
-321.4206;45.7231;928.9542;-435.7323;197.4600;1042.4561;-415.9217;213.0100;1301.2459
-317.9264;40.5181;938.4246;-436.7359;194.8952;1043.5014;-415.8274;213.5942;1301.7885
-314.4460;35.2089;948.3723;-437.5752;191.9221;1044.6499;-415.7164;214.2410;1302.3478
-310.9117;29.6901;958.7545;-438.2233;188.5210;1045.9131;-415.6047;214.9310;1302.9370
-307.3554;24.0125;969.5509;-438.6531;184.6696;1047.3115;-415.4567;215.6272;1303.5536
-303.7818;18.2075;980.7540;-438.8569;180.3362;1048.8740;-415.2675;216.3327;1304.1942
-300.1743;12.2321;992.3603;-438.8242;175.5189;1050.6186;-414.9963;217.0040;1304.8587
-296.5518;6.1760;1004.3398;-438.5482;170.2128;1052.5739;-414.6414;217.6151;1305.5534
-292.9210;0.0591;1016.6418;-438.0260;164.4123;1054.7737;-414.1906;218.1444;1306.2746
-289.2820;-6.0790;1029.2600;-437.2369;158.1078;1057.2559;-413.6613;218.6371;1307.0111
-285.6363;-12.1943;1042.2224;-436.1515;151.3718;1060.0117;-413.0590;219.1259;1307.7451
-281.9970;-18.2844;1055.3996;-434.7742;144.2200;1063.0799;-412.4135;219.6021;1308.4777
-278.3621;-24.2626;1068.8417;-433.0919;136.6930;1066.4781;-411.7186;220.0697;1309.2119
-274.7004;-30.2503;1082.3742;-431.1318;128.7988;1070.2804;-411.0319;220.5741;1309.9006
-271.0286;-36.2031;1096.0296;-428.9048;120.5993;1074.4743;-410.2812;220.9859;1310.6250
-267.3150;-42.1441;1109.7345;-426.4411;112.1233;1079.1555;-409.5072;221.3803;1311.3056
-263.6184;-47.9581;1123.5198;-423.7344;103.4273;1084.3381;-408.6870;221.7558;1311.9294
-259.9027;-53.7021;1137.3278;-420.7994;94.5903;1090.0028;-407.8107;222.0830;1312.5273
-256.1556;-59.3979;1151.1715;-417.6276;85.6806;1096.1190;-406.8542;222.3199;1313.1338
-252.4039;-64.9562;1164.9682;-414.2211;76.7607;1102.6285;-405.7960;222.4497;1313.8058
-248.6343;-70.3903;1178.7716;-410.6049;67.8854;1109.5757;-404.6408;222.4969;1314.5013
-244.8238;-75.7919;1192.4888;-406.7688;59.1059;1116.9416;-403.4117;222.4545;1315.2433
-240.9617;-81.1787;1206.1523;-402.7829;50.4889;1124.7418;-402.0725;222.3124;1315.9962
-237.0579;-86.5789;1219.6820;-398.6393;42.0632;1132.8935;-400.6067;222.0254;1316.8495
-233.1524;-91.9037;1233.0275;-394.3716;33.8764;1141.3890;-399.0005;221.5922;1317.8260
-229.2565;-97.1318;1246.1741;-389.9887;25.9509;1150.1794;-397.2783;221.0461;1318.9157
-225.3678;-102.2808;1259.1305;-385.5025;18.3560;1159.2062;-395.3943;220.3310;1320.1690
-221.4645;-107.3608;1271.9402;-380.9321;11.0991;1168.4875;-393.4221;219.5335;1321.5262
-217.5526;-112.3895;1284.5482;-376.2577;4.2301;1177.8663;-391.3249;218.5978;1323.0807
-213.6557;-117.3636;1296.9527;-371.5296;-2.2517;1187.3459;-389.0886;217.5294;1324.8238
-209.7769;-122.2809;1309.1450;-366.7484;-8.3484;1196.8854;-386.7334;216.3528;1326.7397
-205.9488;-127.0804;1321.0581;-361.9206;-14.0743;1206.4719;-384.3051;215.0899;1328.7957
-202.1527;-131.8061;1332.7456;-357.0748;-19.4352;1216.1478;-381.8272;213.7879;1330.9210
-198.3993;-136.4856;1344.1254;-352.1947;-24.4364;1225.7940;-379.3021;212.4289;1333.1477
-194.6934;-141.0392;1355.2944;-347.2944;-29.0776;1235.3777;-376.7446;211.0198;1335.4505
-191.0710;-145.4497;1366.1609;-342.3687;-33.3718;1244.8540;-374.1344;209.5635;1337.8579
-187.5309;-149.7218;1376.7071;-337.4589;-37.3220;1254.2625;-371.4695;208.0875;1340.2594
-184.0150;-153.9674;1386.9630;-332.5521;-40.9537;1263.5360;-368.7994;206.5909;1342.6791
-180.5418;-158.1666;1396.9209;-327.6844;-44.2805;1272.6796;-366.1203;205.0732;1345.1325
-177.0901;-162.2871;1406.5918;-322.8586;-47.3279;1281.6535;-363.4234;203.5406;1347.6415
-173.7118;-166.2868;1415.8892;-318.0736;-50.1243;1290.4318;-360.7340;202.0015;1350.2174
-170.3989;-170.1280;1424.8686;-313.3508;-52.6845;1299.0320;-358.0686;200.4524;1352.8221
-167.1392;-173.8106;1433.5114;-308.6756;-55.0271;1307.3964;-355.4636;198.9049;1355.4492
-163.9369;-177.3671;1441.8017;-304.0822;-57.1821;1315.5596;-352.9214;197.3583;1358.0724
-160.7765;-180.8104;1449.7589;-299.5778;-59.1508;1323.4998;-350.4645;195.8201;1360.6492
-157.6769;-184.1255;1457.3538;-295.1550;-60.9422;1331.1957;-348.1325;194.2604;1363.1552
-154.6241;-187.3471;1464.5858;-290.8350;-62.5774;1338.6816;-345.9117;192.6855;1365.5717
-151.6380;-190.4699;1471.4187;-286.6322;-64.0725;1345.9544;-343.7907;191.0761;1367.8957
-148.7050;-193.4935;1477.9002;-282.5173;-65.4538;1352.9746;-341.7982;189.4337;1370.1378
-145.8300;-196.3880;1484.0679;-278.4779;-66.7409;1359.7302;-339.9521;187.7626;1372.3402
-143.0003;-199.1482;1489.9641;-274.5318;-67.9357;1366.2296;-338.1950;186.0665;1374.4903
-140.2260;-201.7860;1495.5652;-270.6577;-69.0501;1372.4628;-336.5099;184.3565;1376.6039
-137.5126;-204.3157;1500.8613;-266.8487;-70.0941;1378.4257;-334.8887;182.6485;1378.6825
-134.8480;-206.7287;1505.9052;-263.1062;-71.0751;1384.1106;-333.3027;180.9610;1380.7278
-132.2429;-209.0420;1510.6677;-259.4188;-72.0069;1389.5110;-331.7339;179.3129;1382.7532
-129.6954;-211.2610;1515.1723;-255.7897;-72.8916;1394.6312;-330.1663;177.7024;1384.7570
-127.2046;-213.3802;1519.4339;-252.2083;-73.7267;1399.4572;-328.5877;176.1360;1386.7217
-124.7690;-215.4064;1523.4531;-248.6851;-74.5258;1404.0031;-326.9771;174.5879;1388.6568
-122.3922;-217.3203;1527.2403;-245.2170;-75.3123;1408.2604;-325.3372;173.0565;1390.5536
-120.0758;-219.1115;1530.8003;-241.8006;-76.0767;1412.2113;-323.6936;171.5174;1392.4028
-117.8089;-220.7907;1534.1660;-238.4390;-76.8342;1415.8505;-322.0567;169.9856;1394.1987
-115.5911;-222.3550;1537.3187;-235.1549;-77.5730;1419.2054;-320.4190;168.4666;1395.9225
-113.4227;-223.7989;1540.2665;-231.9705;-78.2868;1422.2923;-318.7610;166.9826;1397.5711
-111.3025;-225.1308;1543.0151;-228.8783;-78.9862;1425.1221;-317.1029;165.5425;1399.1295
-109.2239;-226.3521;1545.5788;-225.8909;-79.6724;1427.7101;-315.4591;164.1526;1400.5674
-107.1817;-227.4682;1547.9618;-222.9998;-80.3507;1430.0493;-313.8797;162.7937;1401.8535
-105.1778;-228.4846;1550.1768;-220.2072;-81.0147;1432.1676;-312.3791;161.4509;1402.9662
-103.2123;-229.4075;1552.2259;-217.5214;-81.6635;1434.0701;-310.9859;160.1017;1403.8723
-101.2799;-230.2396;1554.1168;-214.9457;-82.3039;1435.7642;-309.7363;158.7214;1404.5604
-99.3817;-230.9834;1555.8509;-212.4806;-82.9226;1437.2804;-308.6210;157.3091;1405.0472
-97.5150;-231.6345;1557.4428;-210.1257;-83.5316;1438.6254;-307.6400;155.8744;1405.3536
-95.6736;-232.2028;1558.8948;-207.8950;-84.1265;1439.8220;-306.7555;154.4446;1405.5288
-93.8511;-232.6989;1560.2161;-205.7859;-84.7105;1440.8879;-305.9244;153.0551;1405.6205
-92.0465;-233.1107;1561.4065;-203.8053;-85.2712;1441.8377;-305.1036;151.7424;1405.6745
-90.2554;-233.4447;1562.4731;-201.9472;-85.8170;1442.6751;-304.2792;150.5232;1405.7099
-88.4739;-233.7073;1563.4274;-200.2006;-86.3526;1443.3928;-303.4896;149.3996;1405.7493
-86.7001;-233.8938;1564.2687;-198.5676;-86.8674;1444.0099;-302.7223;148.3721;1405.7913
-84.9349;-234.0076;1565.0042;-197.0396;-87.3611;1444.5311;-301.9988;147.4272;1405.8334
-83.1853;-234.0443;1565.6392;-195.6275;-87.8249;1444.9733;-301.3024;146.5616;1405.8764
-81.4569;-234.0019;1566.1792;-194.3180;-88.2584;1445.3264;-300.6540;145.7655;1405.9082
-79.7566;-233.8830;1566.6335;-193.1042;-88.6563;1445.6003;-300.0419;145.0385;1405.9453
