RWJC_x;RWJC_y;RWJC_z;REJC_x;REJC_y;REJC_z
0.0000;0.0000;0.0000;-9.7841;98.2295;189.9454
0.0863;-0.0714;-0.0451;-9.7561;98.1865;189.9354
0.1478;-0.1006;-0.0451;-9.6984;98.1496;189.8931
0.2914;-0.1249;-0.1127;-9.6590;98.1285;189.8916
0.3966;-0.1260;-0.2284;-9.5963;98.1133;189.8464
0.5831;-0.1260;-0.2284;-9.4837;98.1133;189.7853
0.8165;-0.1249;-0.2284;-9.3844;98.1133;189.7409
1.0297;-0.1196;-0.2191;-9.2705;98.1436;189.7190
1.1825;0.0399;-0.2191;-9.1201;98.1794;189.6728
1.2865;0.2427;-0.2191;-8.9837;98.2306;189.6705
1.4894;0.3885;-0.7378;-8.8207;98.2748;189.6354
1.6746;0.5809;-0.7378;-8.6620;98.4182;189.6338
1.9092;0.7452;-0.7731;-8.4617;98.4200;189.5660
2.3078;0.7834;-0.8985;-8.2517;98.5124;189.5200
2.4974;1.0618;-0.8985;-8.0645;98.7020;189.5131
2.8089;1.2087;-0.8985;-7.9249;98.7244;189.4832
3.0355;1.4104;-1.0816;-7.7294;98.8221;189.4653
3.2839;1.6238;-1.3009;-7.4798;98.9576;189.4107
3.5550;1.8421;-1.3009;-7.2091;99.0499;189.3725
3.8250;2.0154;-1.3009;-6.9305;99.2456;189.3725
4.1507;2.1180;-1.2968;-6.6249;99.4046;189.3725
4.3985;2.3086;-1.2743;-6.3191;99.4857;189.3771
4.6283;2.5048;-1.2337;-6.0186;99.5145;189.3880
4.8641;2.6862;-1.2337;-5.6611;99.8507;189.4078
5.0557;2.8410;-1.2337;-5.3413;99.9791;189.4643
5.3153;2.9237;-0.8993;-4.9898;100.1971;189.5431
5.4592;3.0946;-0.8677;-4.6744;100.4186;189.6142
5.6914;3.2008;-0.7085;-4.4010;100.4606;189.8004
5.8767;3.2824;-0.2284;-4.0758;100.7534;189.9497
6.0132;3.4094;-0.2155;-3.7736;101.0927;190.0597
6.1403;3.4770;0.2551;-3.4676;101.4630;190.1480
6.2279;3.5992;0.5030;-3.1776;101.8580;190.2381
6.3582;3.6120;1.2636;-3.1558;102.1656;190.8332
6.3582;3.6894;1.6273;-3.0568;102.5555;191.0938
6.3582;3.7038;2.1781;-2.9150;103.0337;191.3091
6.3113;3.8394;2.3283;-2.8905;103.4052;191.5223
6.2253;3.8488;2.7302;-2.8905;103.8432;191.7646
6.0838;3.8488;2.9771;-2.8905;104.2580;191.9751
5.9861;3.8743;3.9884;-3.0048;104.6391;192.2105
5.7905;3.8984;4.1924;-3.1059;105.0903;192.3497
5.4876;3.8598;4.4264;-3.2875;105.4827;192.5013
5.1566;3.8598;4.4295;-3.5544;105.7541;192.7252
4.8088;3.8598;4.7833;-3.8255;106.0883;192.8987
4.3929;3.8291;5.1584;-4.1051;106.4084;192.9863
3.9388;3.7734;5.4434;-4.4154;106.7119;193.0930
3.4262;3.6871;5.7172;-4.7824;106.9060;193.2066
2.8110;3.6527;5.8696;-5.1520;107.1932;193.3052
2.1798;3.5906;6.2038;-5.5206;107.3351;193.3603
1.4648;3.5347;6.3615;-5.9182;107.4390;193.4774
0.6917;3.4970;6.6484;-6.3490;107.4476;193.5307
0.0144;3.3774;6.6870;-6.7675;107.4476;193.5546
-0.9667;3.3018;6.9674;-7.2004;107.4476;193.6297
-1.8546;3.2893;7.3469;-7.6405;107.4299;193.6536
-2.7322;3.1293;7.4481;-8.0843;107.3416;193.6536
-3.6282;2.9943;7.8729;-8.4807;107.3329;193.6536
-4.5936;2.9370;7.9228;-8.9214;107.3172;193.6180
-5.5773;2.8521;8.0459;-9.3772;107.2396;193.6093
-6.5600;2.6921;8.1493;-9.8052;107.2396;193.5772
-7.6545;2.6391;8.1682;-10.2622;107.2396;193.5117
-8.6733;2.4500;8.3930;-10.6977;107.2511;193.4426
-9.7270;2.2102;8.5860;-11.1882;107.2590;193.4222
-10.8032;1.9771;8.8518;-11.6808;107.3387;193.4222
-11.8372;1.5986;9.2503;-12.2083;107.4574;193.4241
-12.8953;1.1551;9.5720;-12.7683;107.6160;193.4241
-13.9450;0.5778;9.5720;-13.3307;107.7862;193.4425
-15.0154;-0.0096;10.1800;-13.8488;108.0505;193.4632
-15.4850;-0.8126;10.2885;-14.3399;108.3969;193.5617
-16.4189;-1.9282;10.5278;-14.9184;108.6603;193.7288
-17.3202;-3.4078;12.5530;-15.7475;108.8080;194.2037
-18.2779;-4.9338;13.8821;-16.2885;109.3511;194.4503
-19.1477;-6.7768;15.5371;-16.8785;109.9941;194.7231
-19.9896;-8.8636;17.5121;-17.4140;110.7282;194.9405
-20.7895;-11.1951;19.7661;-18.0762;111.3892;195.2921
-21.5716;-14.8908;22.7029;-18.7117;112.1121;195.5814
-22.3854;-17.9489;25.6156;-19.4623;112.7901;195.9164
-23.0342;-21.5049;28.2823;-20.3085;113.3306;196.3662
-23.9715;-24.7911;32.5311;-21.1818;113.9479;196.8990
-24.7914;-28.5916;36.4944;-22.1498;114.2709;197.3648
-26.2685;-33.0056;41.8758;-23.1452;114.6635;197.8843
-27.0587;-37.3611;46.4777;-24.7591;114.6734;199.5586
-27.8658;-42.2405;51.5985;-26.2633;114.6734;200.9320
-28.7408;-47.3818;57.1718;-27.0972;114.6734;201.2712
