LWJC_x;LWJC_y;LWJC_z;LEJC_x;LEJC_y;LEJC_z
365.5619;62.7960;15.3005;338.6116;147.1561;207.5512
365.5158;62.7970;15.2594;338.5899;147.0934;207.5468
365.4779;62.7998;15.2329;338.5750;147.0348;207.5468
365.4054;62.8028;15.1806;338.5414;146.9824;207.5426
365.3267;62.8028;15.1416;338.5337;146.9082;207.5426
365.2341;62.8028;15.0902;338.5191;146.8328;207.5178
365.1489;62.8004;15.0318;338.4938;146.7548;207.4900
365.0312;62.8004;14.9776;338.4813;146.7072;207.4660
364.9208;62.8001;14.9258;338.4581;146.6547;207.4368
364.7882;62.7996;14.8486;338.4490;146.6057;207.4118
364.6447;62.7996;14.7759;338.4214;146.5296;207.3468
364.4736;62.7774;14.7030;338.3841;146.4786;207.3067
364.2891;62.7544;14.6388;338.3387;146.4103;207.2498
364.1128;62.7456;14.5733;338.2961;146.3447;207.2121
363.9357;62.7382;14.5116;338.2314;146.2919;207.1669
363.7520;62.7241;14.4277;338.1708;146.2446;207.1436
363.5506;62.7043;14.3674;338.0760;146.1898;207.0880
363.3533;62.6764;14.2958;337.9976;146.1512;207.0707
363.1547;62.6454;14.2025;337.9110;146.1016;207.0253
362.9355;62.5995;14.1256;337.8218;146.0247;206.9710
362.7255;62.5673;14.0286;337.7201;145.9834;206.9237
362.4661;62.5134;13.9280;337.6273;145.9155;206.8568
362.2050;62.4606;13.8597;337.5210;145.8440;206.7952
361.9244;62.4100;13.7856;337.4214;145.7880;206.7442
361.6712;62.3640;13.6952;337.3002;145.7058;206.6498
361.4232;62.3390;13.6419;337.2061;145.6084;206.5939
361.1530;62.2908;13.5759;337.0940;145.5343;206.5521
360.8684;62.2183;13.4965;336.9809;145.4523;206.5104
360.5880;62.1410;13.4093;336.8627;145.3688;206.4916
360.3034;62.0652;13.3573;336.7491;145.2680;206.4759
360.0367;61.9836;13.2693;336.6288;145.1423;206.4392
359.7378;61.8906;13.2062;336.5087;145.0344;206.4309
359.4734;61.7957;13.1679;336.4174;144.8822;206.4144
