RWJC_x;RWJC_y;RWJC_z;REJC_x;REJC_y;REJC_z;RGHJC_x;RGHJC_y;RGHJC_z
-346.7056;133.9053;782.0477;-362.7100;235.3677;973.8609;-357.5500;238.3510;1230.8349
-346.0715;133.0859;782.2844;-362.7856;235.0727;973.9255;-357.6519;238.1459;1231.0248
-345.3558;132.2294;782.6158;-362.9187;234.8757;974.0049;-357.6380;238.0792;1231.0826
-344.5416;131.3300;783.0680;-363.1181;234.7454;974.0999;-357.6210;238.0075;1231.1548
-343.6127;130.3843;783.6815;-363.3962;234.6809;974.2177;-357.6208;237.9624;1231.2483
-342.5504;129.3852;784.5000;-363.7604;234.6707;974.3656;-357.6531;237.9694;1231.3699
-341.3357;128.3127;785.5682;-364.2093;234.7647;974.5241;-357.7539;238.0373;1231.5363
-339.9508;127.1477;786.8847;-364.7544;234.9069;974.7095;-357.9377;238.2149;1231.7465
-338.3617;125.8402;788.3996;-365.3798;235.1161;974.9080;-358.2045;238.4796;1232.0073
-336.5809;124.4191;790.2151;-366.0950;235.3554;975.1428;-358.5281;238.8156;1232.3097
-334.6009;122.8803;792.3168;-366.8813;235.6197;975.3926;-358.8970;239.1888;1232.6510
-332.4214;121.2102;794.6807;-367.7413;235.8817;975.6893;-359.2728;239.5626;1233.0253
-330.0470;119.4003;797.3086;-368.6667;236.1205;976.0369;-359.6503;239.9440;1233.4426
-327.5162;117.4809;800.3227;-369.6432;236.3121;976.4321;-360.0232;240.3221;1233.9075
-324.8074;115.4142;803.6171;-370.6664;236.4325;976.8955;-360.3752;240.6916;1234.4099
-321.9233;113.1964;807.1912;-371.7112;236.4690;977.4024;-360.7243;241.0325;1234.9505
-318.8784;110.8103;811.0487;-372.7714;236.4033;977.9682;-361.0752;241.3561;1235.5267
-315.7362;108.2265;815.1775;-373.8218;236.2158;978.5769;-361.4290;241.6360;1236.1491
-312.4536;105.4520;819.5550;-374.8515;235.8892;979.2269;-361.7623;241.8465;1236.7956
