RWJC_x;RWJC_y;RWJC_z;REJC_x;REJC_y;REJC_z;RGHJC_x;RGHJC_y;RGHJC_z
0.0000;0.0000;0.0000;-10.3694;94.1808;194.0679;-4.9031;96.4524;449.8673
0.1011;-0.3899;0.9249;-10.0379;93.7374;194.0818;-4.5506;96.1344;449.9066
0.2404;-0.8700;1.3820;-9.6629;93.3624;194.1349;-4.2182;95.8279;449.9066
0.3746;-1.3622;1.9435;-9.2609;93.0130;194.1847;-3.7884;95.3576;449.9066
0.6504;-2.0649;2.4146;-9.2279;92.4212;194.7238;-2.7053;94.2552;449.9029
0.8410;-2.7568;2.8497;-8.7503;92.1627;194.7832;-2.2345;93.4809;449.8740
1.1398;-3.6377;3.3853;-8.3493;91.5731;194.8887;-1.8455;93.2082;449.8740
1.3991;-4.6980;3.7885;-8.0427;90.8794;195.1912;-1.2883;92.8275;449.9029
1.5709;-5.8894;4.5780;-7.6426;90.5389;195.3249;-0.8256;92.2502;449.9789
1.7616;-7.4049;5.6013;-7.2730;90.2467;195.5624;-0.4219;91.7227;450.1610
1.7616;-9.1210;6.2887;-6.8738;89.8764;195.6906;-0.0696;91.1471;450.4197
1.7616;-11.2444;7.4427;-6.5680;89.4054;195.9613;0.5431;90.2758;450.6676
1.6133;-13.4825;7.9998;-6.3117;88.8560;196.2062;1.2298;89.1989;450.9619
1.4094;-16.2826;9.2175;-6.2897;87.6907;196.2806;1.9705;88.5144;451.1349
1.1036;-19.7206;11.0179;-6.2897;86.9395;196.5160;2.8188;87.1064;451.4222
0.5785;-23.4259;13.3135;-6.2897;85.8980;196.7584;3.6766;85.8837;451.6243
-0.0385;-27.3829;15.1773;-6.4147;84.6798;197.0905;4.5127;84.7370;451.8471
-0.6669;-32.3737;17.4589;-6.7026;83.2280;197.3588;5.2629;84.0303;452.0781
-1.2630;-38.1541;19.4121;-7.1114;81.5351;197.7171;5.9442;83.5939;452.3798
-2.2235;-43.5422;22.7979;-7.6879;79.4477;198.1613;6.6458;83.4475;452.7561
-3.1014;-49.6361;25.9320;-8.3099;77.1883;198.6785;7.3164;83.4475;453.1931
-4.1137;-56.2580;29.4616;-8.9216;74.6868;199.1517;7.8276;83.4475;453.7465
-5.1308;-63.4422;33.4249;-9.6207;71.8792;199.7595;8.4267;83.6859;454.2747
-6.1516;-71.0557;37.8709;-10.4920;68.6509;200.5359;9.1311;83.9246;454.7867
-7.1566;-79.3934;42.6801;-10.5225;65.0867;201.4447;9.1311;84.1869;455.2910
-8.0573;-87.9596;48.1533;-11.5179;61.2171;201.6355;9.8827;84.3026;455.8144
-8.8235;-97.0297;54.2013;-12.4875;59.8598;202.4856;10.6589;84.3026;457.1647
-9.6197;-106.5604;60.6653;-15.9639;59.0837;204.7029;10.8139;85.1654;457.2900
-10.3068;-116.4567;67.8862;-16.2750;48.1684;207.4035;13.5528;86.5961;457.5552
-10.8700;-126.5523;75.6204;-17.5761;42.3177;209.5763;14.4563;86.5961;457.9780
-11.3882;-136.9835;84.0128;-19.0247;37.0251;212.6425;15.1614;86.6064;458.4521
-11.7284;-147.3343;93.0728;-20.1723;31.3435;215.2695;15.7520;87.9197;458.9823
-11.7284;-157.7688;102.7561;-20.9191;25.3674;217.2163;16.1580;88.6457;459.8443
-11.7284;-168.3286;112.9947;-21.7852;19.2759;219.6538;16.7938;89.3301;459.8443
-11.2279;-178.8630;123.8319;-22.6834;12.9846;222.4232;17.4165;89.7082;459.8443
-10.2848;-189.3115;135.3404;-24.0522;6.9851;226.4872;21.4417;90.0803;458.6687
-8.8772;-199.1794;147.3431;-24.9759;0.0198;229.8294;21.8881;91.0489;458.6687
-7.1985;-209.5280;160.2184;-26.0699;-6.7635;233.8363;22.6278;91.6880;458.6687
-4.9588;-218.7927;173.8341;-27.0143;-13.4360;238.0427;23.2270;92.3219;459.2350
-2.6144;-227.8763;187.9458;-27.9667;-20.2563;242.6811;23.7754;93.3198;459.5455
0.0237;-236.8898;202.6072;-29.0516;-27.3427;248.0270;24.5820;94.0907;459.6833
3.0736;-245.7352;217.7391;-29.0516;-34.6974;253.0353;24.9888;95.1150;459.7804
6.3360;-254.0732;233.3456;-29.0516;-42.2142;258.2180;25.5500;95.1176;459.9336
9.6868;-262.4068;249.2213;-29.0052;-50.8865;261.2133;25.7712;95.4994;461.6425
13.6397;-269.8081;265.6399;-28.7884;-58.3018;268.0078;26.6595;95.6524;461.7311
17.5766;-277.0113;282.0709;-28.6478;-65.9290;274.3722;27.3247;95.4994;461.8855
22.1677;-283.1506;298.8517;-27.9998;-73.6316;281.0458;28.0804;95.4994;462.1475
26.9723;-288.8609;315.9923;-26.9429;-81.5083;287.9021;28.9919;95.1486;462.6277
31.8518;-294.2691;332.8119;-25.7647;-89.0587;295.3045;30.0447;94.3590;463.2903
37.0523;-299.0257;350.1387;-24.2339;-96.5822;303.0275;31.5021;93.0896;464.1976
42.3118;-303.1436;366.6256;-22.4090;-103.9724;310.8003;32.9682;91.6628;465.2753
47.8784;-306.4419;383.4554;-20.3912;-111.0800;318.8768;34.5264;90.1106;466.5336
53.6798;-309.8305;400.2172;-18.0638;-118.1126;327.0419;36.3589;88.4183;467.4297
59.4881;-312.3365;416.5888;-15.5348;-124.9510;335.4499;37.8959;86.7518;468.5558
65.3424;-314.3614;432.6819;-12.6661;-131.7020;344.0182;40.0022;84.8462;469.1477
71.3705;-315.9562;448.6184;-9.8016;-138.0093;353.0199;42.2041;82.7996;470.4567
77.3644;-317.1917;464.1603;-6.4471;-144.2573;361.7485;43.9493;81.0041;472.1077
83.5514;-317.3541;478.2679;-3.0743;-150.0857;370.9253;46.1471;78.9600;473.9446
89.6042;-317.8830;493.1592;0.5780;-155.6549;380.0938;48.0141;77.1976;475.6857
95.7030;-317.8830;507.5834;4.4711;-160.9579;389.1622;49.8692;75.5363;477.3584
101.8103;-317.8830;521.8901;8.4848;-165.8660;398.3888;51.8517;73.9571;478.9154
107.8778;-317.8782;535.7755;12.6071;-170.4181;407.6581;53.9942;72.3991;480.1394
113.9584;-317.4610;549.2578;16.8581;-174.7239;416.9007;56.0297;70.9486;481.0027
120.0254;-316.8782;562.2810;21.2706;-178.7802;426.0795;58.0956;69.5223;481.7776
126.3883;-316.0399;575.2625;25.6900;-182.4590;435.3811;60.2816;67.9582;482.5525
132.4144;-314.9461;587.7255;30.1523;-185.8511;444.4740;62.4098;66.3833;483.3649
138.4842;-313.7491;599.7390;34.6351;-189.0040;453.5329;64.2737;64.7565;484.0811
144.4710;-312.3629;611.3883;39.1169;-191.7813;462.5086;66.3433;63.0589;485.3723
150.4479;-310.6812;622.7922;43.5064;-194.1616;471.5548;68.5078;61.2743;486.5017
156.3873;-308.9460;633.8513;47.9101;-196.2452;480.4043;70.7683;59.5142;488.1070
162.1841;-306.9786;644.6021;52.3437;-198.0204;489.1735;73.2829;57.9132;490.1983
168.0811;-304.8507;655.1046;56.9243;-199.6332;497.7615;76.0367;56.4132;492.7307
173.5557;-302.5707;665.1011;61.5425;-200.9711;506.4490;79.1525;54.9531;495.4989
179.1090;-300.2689;674.9571;66.3380;-202.2718;514.8100;82.2134;53.6820;498.5707
184.0889;-297.4958;684.1805;70.7869;-203.1749;522.8997;84.7002;52.4796;501.0781
189.3809;-295.1019;693.3057;75.1660;-203.7890;530.9663;87.3028;51.2480;503.5448
194.7472;-292.3874;702.2586;79.4507;-204.2175;538.8279;89.9509;50.0985;506.0343
199.8802;-289.3191;710.4574;83.5531;-204.2175;546.7918;92.5246;48.9163;508.1726
205.1419;-286.5743;718.6375;87.7900;-204.2175;554.2651;94.8844;47.9126;510.2620
210.3277;-283.7082;726.6405;91.7651;-204.1532;561.8088;97.0812;46.8499;511.9742
215.3648;-280.9530;734.2586;95.8151;-203.9998;568.9388;99.0973;45.9828;513.7195
220.2930;-278.0209;741.7531;99.7273;-203.6667;575.9342;101.0498;45.0791;515.3685
