LWJC_x;LWJC_y;LWJC_z;LEJC_x;LEJC_y;LEJC_z;LGHJC_x;LGHJC_y;LGHJC_z
0.0000;0.0000;0.0000;121.2618;126.7584;185.3990;338.4668;224.0676;403.8368
-0.1530;-0.0705;0.1613;121.0662;126.9344;185.4382;338.1992;224.2596;403.9407
-0.3225;-0.1350;0.3255;120.8641;127.1185;185.4850;337.9442;224.4336;404.0394
-0.5102;-0.1922;0.4946;120.6557;127.2817;185.5398;337.6953;224.6024;404.1230
-0.7160;-0.2419;0.6659;120.4424;127.4084;185.6003;337.4469;224.7706;404.1938
-0.9381;-0.2841;0.8443;120.2249;127.5111;185.6624;337.2055;224.9398;404.2470
-1.1717;-0.3201;1.0304;120.0064;127.6167;185.7261;336.9867;225.0941;404.2975
-1.4177;-0.3511;1.2310;119.7876;127.7279;185.7862;336.7905;225.2312;404.3474
-1.6822;-0.3814;1.4468;119.5736;127.8683;185.8372;336.6215;225.3518;404.3999
-1.9622;-0.4113;1.6845;119.3655;128.0389;185.8822;336.4866;225.4425;404.4503
-2.2631;-0.4443;1.9483;119.1611;128.2371;185.9224;336.4021;225.5086;404.4812
-2.5840;-0.4867;2.2441;118.9572;128.4742;185.9622;336.3830;225.5384;404.4878
-2.9185;-0.5394;2.5815;118.7533;128.7650;186.0057;336.4422;225.5152;404.4735
-3.2623;-0.6093;2.9689;118.5407;129.0921;186.0613;336.5991;225.4364;404.4123
-3.6164;-0.7056;3.4184;118.3172;129.4467;186.1332;336.8587;225.2998;404.2954
-3.9684;-0.8397;3.9400;118.0738;129.8320;186.2301;337.2326;225.1014;404.1074
-4.3078;-1.0258;4.5467;117.8050;130.2805;186.3410;337.7244;224.8254;403.8577
-4.6235;-1.2771;5.2525;117.4992;130.7972;186.4862;338.3307;224.4667;403.5539
-4.9038;-1.6042;6.0699;117.1501;131.4396;186.7634;339.0840;223.9994;403.1752
-5.1284;-2.0082;7.0083;116.7621;132.1750;187.1586;339.9461;223.4592;402.7272
-5.2794;-2.4937;8.0591;116.3269;132.9750;187.6729;340.8862;222.8675;402.2334
-5.3563;-3.0934;9.2441;115.8301;133.8221;188.3416;341.9095;222.2156;401.6767
-5.3566;-3.8283;10.5797;115.2610;134.6868;189.1225;342.9742;221.5418;401.0838
-5.2705;-4.7201;12.0834;114.6230;135.5453;190.0175;344.0400;220.8694;400.4784
-5.0872;-5.7910;13.7698;113.9082;136.3951;191.0306;345.0825;220.2087;399.8708
-4.7998;-7.0633;15.6526;113.1192;137.1928;192.1319;346.0585;219.5985;399.2952
-4.3941;-8.5567;17.7454;112.2489;137.9410;193.3316;346.9587;219.0232;398.7562
-3.8529;-10.2881;20.0553;111.2980;138.6296;194.6395;347.7763;218.4890;398.2486
