RWJC_x;RWJC_y;RWJC_z;REJC_x;REJC_y;REJC_z;RGHJC_x;RGHJC_y;RGHJC_z
0.0000;0.0000;0.0000;37.1445;82.6291;225.5475;82.4480;77.2538;554.0059
0.0643;-0.1562;0.1103;37.0456;82.3164;225.6799;82.3758;76.6546;554.1967
0.1073;-0.3794;0.2506;36.9196;81.9864;225.8184;82.3226;76.0157;554.3901
0.1140;-0.6888;0.4297;36.7555;81.6421;225.9631;82.2909;75.3418;554.5836
0.0721;-1.1071;0.6603;36.5374;81.2853;226.1206;82.2813;74.6530;554.7760
-0.0249;-1.6594;0.9569;36.2506;80.9143;226.2946;82.2894;73.9771;554.9707
-0.1768;-2.3709;1.3343;35.8835;80.5201;226.4913;82.3063;73.3478;555.1749
-0.3806;-3.2670;1.8058;35.4370;80.0872;226.7109;82.3142;72.7981;555.3988
-0.6210;-4.3703;2.3702;34.9110;79.5992;226.9516;82.3089;72.3246;555.6467
-0.8847;-5.7211;3.0457;34.3088;79.0430;227.2166;82.2903;71.8991;555.9220
-1.1570;-7.3481;3.8332;33.6347;78.4121;227.5320;82.2634;71.4999;556.2285
-1.4266;-9.2874;4.7506;32.8794;77.6795;227.8950;82.2408;71.1028;556.5617
-1.6812;-11.5716;5.7992;32.0329;76.8143;228.3070;82.2306;70.6943;556.9208
-1.9155;-14.2315;6.9884;31.0919;75.7832;228.7649;82.2346;70.2783;557.3083
-2.1290;-17.3064;8.3373;30.0571;74.5548;229.2704;82.2546;69.8592;557.7243
-2.3167;-20.8127;9.8432;28.9528;73.1079;229.8231;82.2776;69.4489;558.1755
-2.4716;-24.7908;11.5309;27.7944;71.4131;230.4195;82.3015;69.0518;558.6563
-2.5829;-29.2581;13.3948;26.6095;69.4448;231.0524;82.3247;68.6623;559.1596
-2.6420;-34.2327;15.4365;25.4145;67.1861;231.7122;82.3596;68.2364;559.6764
-2.6483;-39.7267;17.6569;24.2316;64.6188;232.3975;82.4172;67.7542;560.1957
-2.5944;-45.7502;20.0578;23.0717;61.7298;233.0963;82.5100;67.2057;560.7011
-2.4794;-52.3146;22.6588;21.9360;58.5154;233.8093;82.6552;66.5793;561.1829
-2.2985;-59.4070;25.4611;20.8456;54.9956;234.5213;82.8349;65.9048;561.6478
-2.0432;-67.0287;28.4894;19.7967;51.1451;235.2508;83.0563;65.2191;562.0804
-1.6980;-75.1681;31.7526;18.8011;46.9687;236.0042;83.3096;64.5497;562.4768
-1.2519;-83.8142;35.2744;17.8661;42.4728;236.7819;83.5957;63.9122;562.8257
-0.6859;-92.9509;39.0664;17.0061;37.6722;237.6000;83.9040;63.3204;563.1207
0.0229;-102.5514;43.1318;16.2309;32.5785;238.4684;84.2258;62.7879;563.3623
0.9092;-112.5918;47.4979;15.5320;27.1937;239.3931;84.5652;62.3173;563.5422
2.0078;-123.0200;52.1626;14.9239;21.5371;240.3923;84.9141;61.9258;563.6624
3.3471;-133.7978;57.1597;14.4096;15.6162;241.4542;85.2502;61.6212;563.7315
4.9589;-144.8823;62.5097;13.9957;9.4422;242.5967;85.5707;61.4174;563.7457
6.8719;-156.2319;68.2349;13.6988;3.0429;243.8395;85.8840;61.2807;563.7146
9.1031;-167.8014;74.3571;13.5277;-3.5514;245.2084;86.1851;61.1857;563.6515
11.6639;-179.5413;80.8925;13.4867;-10.3277;246.7226;86.4697;61.1390;563.5561
14.5637;-191.4074;87.8524;13.5621;-17.3009;248.4186;86.7582;61.1189;563.4304
17.8044;-203.3489;95.2382;13.7736;-24.4359;250.2849;87.0368;61.1140;563.2929
21.3840;-215.3197;103.0502;14.1766;-31.6967;252.3122;87.2471;61.1564;563.1714
25.3062;-227.2701;111.2936;14.7486;-39.1055;254.4803;87.3704;61.2552;563.0577
29.5730;-239.1554;119.9714;15.5082;-46.6505;256.8369;87.4328;61.3680;562.9634
34.1921;-250.9264;129.0851;16.4569;-54.3084;259.3762;87.4505;61.4507;562.9032
39.1561;-262.5496;138.6276;18.0847;-61.0561;261.1384;87.2521;61.0323;563.5686
44.4595;-273.9873;148.5917;19.1103;-69.4757;264.7448;87.4607;61.1044;563.1293
50.0948;-285.2072;158.9576;20.5370;-77.3854;268.0733;87.6643;60.7792;563.1746
56.0476;-296.1779;169.7117;22.0912;-85.3824;271.6970;87.9630;60.2840;563.2530
62.3015;-306.8691;180.8311;23.9914;-93.0166;275.1795;88.2560;59.4862;563.7124
68.8400;-317.2576;192.2944;25.8679;-101.0478;279.2477;88.7013;58.6508;563.9593
75.6447;-327.3300;204.0793;27.9131;-109.1261;283.5458;89.2131;57.6707;564.2736
82.6959;-337.0692;216.1632;30.1497;-117.2297;288.0485;89.7838;56.5636;564.6587
89.9715;-346.4617;228.5283;32.5920;-125.3516;292.7626;90.4132;55.3320;565.1181
97.4569;-355.4917;241.1506;35.1983;-133.5027;297.7078;91.1669;53.9358;565.6376
105.1491;-364.1583;254.0069;38.0169;-141.6555;302.9023;92.0384;52.3755;566.2319
113.0074;-372.4607;267.0662;41.0404;-149.7776;308.3322;93.0269;50.6682;566.9065
120.9899;-380.4133;280.2998;44.2754;-157.8768;313.9936;94.1197;48.8436;567.6520
129.1127;-387.9957;293.6876;47.2382;-166.9382;320.8705;95.4961;47.3609;567.7851
137.3680;-395.2071;307.2122;51.1816;-174.3360;326.3546;96.5336;45.2172;569.1224
145.7766;-402.0421;320.8699;55.1406;-182.2757;332.5627;97.6561;43.2739;570.0877
154.2337;-408.5328;334.5960;59.4291;-190.1494;338.9635;98.8455;41.2580;571.2021
162.7675;-414.6835;348.3809;63.7862;-198.3616;345.9409;100.1843;39.3264;572.1371
171.3773;-420.4915;362.2022;68.5545;-206.1015;352.7947;101.5385;37.2283;573.4708
180.0584;-425.9604;376.0378;73.5566;-213.7282;359.8518;102.9558;35.0935;574.9226
188.8047;-431.0978;389.8671;78.7727;-221.2226;367.1323;104.4426;32.9338;576.4572
197.6131;-435.9119;403.6689;84.1853;-228.5645;374.6231;105.9804;30.7623;578.0720
206.4671;-440.4186;417.4189;89.7829;-235.7372;382.3125;107.5645;28.5865;579.7543
215.3391;-444.6260;431.0863;95.5470;-242.6965;390.1916;109.2176;26.3946;581.5177
224.2427;-448.5372;444.6540;101.4651;-249.4545;398.2154;110.9168;24.1986;583.3486
233.1871;-452.1522;458.0984;107.5268;-255.9885;406.3937;112.6741;22.0041;585.2314
242.1225;-455.5041;471.3931;113.7204;-262.2941;414.6963;114.4860;19.8165;587.1683
251.0282;-458.6039;484.5024;120.0578;-268.3818;423.0955;116.3689;17.6274;589.1858
259.8923;-461.4640;497.3933;126.4826;-274.1862;431.6038;118.3425;15.4451;591.2778
268.7583;-464.1015;510.0990;132.9480;-279.6863;440.1587;120.3271;13.3226;593.3944
277.5166;-466.5433;522.5728;139.4635;-284.9038;448.7786;122.3341;11.2609;595.5119
286.1929;-468.7956;534.8061;146.0353;-289.8662;457.4101;124.3619;9.2608;597.6293
294.7630;-470.8718;546.7771;152.6335;-294.5347;466.0515;126.4482;7.3169;599.7473
303.2070;-472.7824;558.4661;159.2396;-298.9146;474.6700;128.5819;5.4264;601.8928
311.5214;-474.5403;569.8294;165.8392;-303.0045;483.2493;130.7851;3.5848;604.0658
319.6944;-476.1392;580.8598;172.4152;-306.8051;491.7635;133.0469;1.7931;606.2909
327.7055;-477.6028;591.5741;178.9587;-310.3327;500.2024;135.3805;0.0579;608.5601
335.5605;-478.9396;601.9559;185.4472;-313.5762;508.5424;137.7941;-1.6171;610.8745
343.2283;-480.1787;612.0114;191.8626;-316.5429;516.7535;140.2743;-3.2304;613.2430
350.6972;-481.3245;621.7346;198.2033;-319.2405;524.8044;142.8135;-4.7808;615.6560
357.9557;-482.3933;631.1375;204.4584;-321.6793;532.6733;145.3875;-6.2625;618.1043
364.9516;-483.4061;640.1983;210.6237;-323.8757;540.3404;147.9887;-7.6776;620.5704
371.6967;-484.3521;648.9022;216.6913;-325.8365;547.7866;150.6039;-9.0262;623.0428
378.2395;-485.2391;657.2577;222.6632;-327.5787;555.0004;153.2385;-10.3121;625.5202
384.5197;-486.1040;665.2480;228.5354;-329.1180;561.9636;155.8712;-11.5362;628.0065
390.5354;-486.9665;672.8757;234.3122;-330.4679;568.6662;158.5007;-12.7047;630.5080
396.2881;-487.8435;680.1486;239.9843;-331.6515;575.1068;161.1481;-13.8222;633.0152
401.7689;-488.7474;687.0950;245.5449;-332.6852;581.2769;163.8169;-14.8971;635.5206
406.9788;-489.7022;693.7196;250.9858;-333.5920;587.1776;166.5079;-15.9344;637.9902
411.9369;-490.6991;700.0060;256.2981;-334.3860;592.8076;169.1908;-16.9460;640.4052
416.6288;-491.7437;705.9657;261.4850;-335.0927;598.1670;171.8490;-17.9407;642.7499
421.0791;-492.8170;711.5914;266.5476;-335.7260;603.2542;174.4801;-18.9244;645.0152
425.2970;-493.9216;716.8888;271.4740;-336.3010;608.0737;177.0882;-19.9001;647.2018
429.2853;-495.0485;721.8499;276.2584;-336.8294;612.6231;179.6832;-20.8719;649.3084
433.0537;-496.2040;726.4759;280.8929;-337.3178;616.9047;182.2666;-21.8345;651.3357
436.6201;-497.3830;730.7722;285.3668;-337.7811;620.9255;184.8361;-22.7865;653.2803
439.9908;-498.5800;734.7566;289.6674;-338.2272;624.6859;187.3794;-23.7248;655.1381
443.1798;-499.7764;738.4398;293.7823;-338.6668;628.1969;189.8987;-24.6519;656.9017
446.2019;-500.9680;741.8340;297.7013;-339.1072;631.4658;192.3755;-25.5689;658.5592
449.0570;-502.1454;744.9452;301.4241;-339.5500;634.4947;194.7883;-26.4765;660.0977
451.7475;-503.3048;747.7833;304.9498;-339.9997;637.2887;197.1146;-27.3724;661.5131
454.2850;-504.4446;750.3583;308.2814;-340.4548;639.8508;199.3549;-28.2547;662.8098
456.6720;-505.5607;752.6759;311.4194;-340.9168;642.1849;201.5117;-29.1174;664.0010
458.9159;-506.6524;754.7473;314.3597;-341.3861;644.3045;203.5898;-29.9562;665.0991
461.0234;-507.7181;756.5856;317.1005;-341.8623;646.2188;205.5878;-30.7665;666.1095
462.9989;-508.7569;758.2037;319.6425;-342.3479;647.9447;207.4973;-31.5512;667.0303
