LWJC_x;LWJC_y;LWJC_z;LEJC_x;LEJC_y;LEJC_z;LGHJC_x;LGHJC_y;LGHJC_z
0.0000;0.0000;0.0000;423.4284;158.9056;100.4566;399.1288;197.1296;421.7746
-0.3071;0.3279;0.1790;423.4284;159.3734;100.4566;399.1288;197.4095;421.8363
-0.6013;0.6246;0.3872;423.4284;159.9299;100.4566;398.9096;197.6520;421.8873
-0.9053;0.9164;0.6078;423.4558;160.5014;100.4594;398.7070;197.8136;421.9462
-1.2595;1.2032;0.8804;423.4818;161.1046;100.4735;398.5683;198.0691;421.9603
-1.5898;1.4756;1.1621;423.5169;161.7015;100.4943;398.4360;198.2140;422.0150
-1.9630;1.7402;1.4640;423.5695;162.2925;100.5479;398.4360;198.3656;422.0452
-2.3119;1.9737;1.7691;423.6870;162.6903;100.5479;398.4360;198.9785;422.0593
-2.7234;2.1869;2.0331;423.7575;163.1706;100.5479;398.5491;199.5371;422.0593
-3.0882;2.4078;2.3824;423.8365;163.7568;100.5371;398.7028;199.9893;422.0452
-3.5496;2.6423;2.7240;423.9902;164.3104;100.4882;398.8596;200.4820;422.0449
-4.0280;2.8803;3.0893;424.1942;164.7885;100.3809;398.8685;200.9727;421.9512
-4.5373;3.1005;3.4200;424.3944;165.3438;100.2911;398.9032;201.4531;421.8592
-5.0886;3.2933;3.7827;424.6456;165.8735;100.2413;398.9032;201.9394;421.6979
-5.6127;3.4822;4.1266;424.8970;166.3618;100.1575;398.8685;202.2932;421.5921
-6.1991;3.6783;4.4561;425.1752;166.8685;100.0576;398.8622;202.7315;421.4241
-6.8131;3.9352;4.8179;425.4551;167.3709;100.0008;398.8622;203.1440;421.2793
-7.4925;4.1528;5.1590;425.6989;167.8280;99.8859;398.8622;203.5396;421.1586
-8.1531;4.3594;5.5005;426.0016;168.2932;99.7931;398.8727;203.9008;420.9872
-8.8411;4.5652;5.8167;426.3023;168.7053;99.7437;398.8907;204.3243;420.8101
-9.6049;4.8065;6.1265;426.5686;169.0905;99.6187;398.9472;204.7876;420.6633
-10.3479;5.0699;6.4903;426.8498;169.5274;99.5389;398.9882;205.1318;420.5068
-11.1102;5.3459;6.8231;427.0948;169.9511;99.4728;399.0415;205.4677;420.4776
-11.8746;5.6359;7.1804;427.3133;170.3284;99.3754;399.1803;205.8471;420.2914
-12.6730;5.9360;7.5135;427.5334;170.7240;99.3081;399.1803;206.1368;420.2503
-13.4532;6.2546;7.8297;427.7358;171.1393;99.2489;399.1343;206.3570;420.1749
-14.2144;6.6216;8.1795;427.9332;171.5605;99.2336;399.1343;206.6277;420.0830
-15.0173;7.0325;8.5181;428.1523;171.9233;99.2132;399.1189;206.8684;419.9697
-15.8087;7.4553;8.8769;428.4016;172.2332;99.2132;399.0193;207.0431;419.9479
-16.5804;7.9170;9.2365;428.6274;172.6125;99.2132;398.9716;207.2100;419.8635
-17.3331;8.3866;9.6061;428.8443;173.0432;99.2395;398.9716;207.4194;419.8554
-18.0393;8.8477;9.9629;429.0363;173.3936;99.2512;398.9695;207.6355;419.8554
-18.7652;9.3445;10.3199;429.2170;173.7849;99.2814;398.9695;207.8243;419.8554
-19.4914;9.8604;10.6716;429.3968;174.2206;99.3548;398.9790;207.9447;419.9065
-20.1966;10.3722;11.0472;429.5444;174.6332;99.3947;398.9790;207.9969;420.0065
-20.9016;10.8825;11.4834;429.6995;175.0470;99.4227;398.9695;207.9969;420.0936
-21.5577;11.2980;11.8957;429.8470;175.4946;99.4700;398.8262;207.9969;420.1780
-22.2285;11.6669;12.3704;429.9506;175.9838;99.5053;398.7900;207.9211;420.3807
-22.8901;11.9684;13.0427;429.9506;176.5588;99.5133;398.5869;207.5972;420.6323
-23.5581;12.1116;13.8944;429.9506;177.0211;99.6335;398.3091;207.5401;420.8196
-23.9699;11.9046;14.9206;429.9814;177.7558;99.6374;397.7395;206.9726;421.0993
-24.3384;11.6931;16.1341;430.0078;178.6266;99.6979;396.9279;205.9322;421.5075
-24.5843;11.4435;17.6038;430.3237;179.2033;99.8163;395.7343;204.5888;421.8059
-24.4974;10.9088;19.2472;430.4503;180.5615;100.1307;394.6283;202.8319;422.3282
-24.2502;10.2282;20.9907;430.6166;181.9788;100.4410;393.8856;201.0527;423.0593
-24.0616;9.2049;22.8850;431.2704;183.0808;101.0097;393.0205;199.6008;423.6273
-23.9368;7.8231;25.0445;432.1792;184.0014;101.6536;392.2455;199.1747;424.0647
-23.8209;6.0712;27.4471;433.4048;184.4755;101.7981;392.0599;199.1747;424.4401
-23.6463;3.8945;30.1108;434.5527;185.0385;102.1599;391.9624;199.1747;424.9802
-23.4185;1.3052;33.0634;435.6846;185.6030;102.5463;391.9055;199.7644;425.3803
-23.0237;-1.7198;36.3445;437.0784;186.0662;102.9996;391.8180;200.6296;425.7195
-22.4847;-5.1803;39.8437;438.3489;186.6751;103.3592;391.7825;200.6296;426.2112
-21.7827;-9.0462;43.6166;439.6915;187.2431;103.8836;391.7362;200.6296;426.8568
-20.8712;-13.3172;47.7209;441.2735;187.6919;104.5720;391.4052;200.2680;427.1374
