LWJC_x;LWJC_y;LWJC_z;LEJC_x;LEJC_y;LEJC_z;LGHJC_x;LGHJC_y;LGHJC_z
461.6217;56.0753;3.3492;449.4259;167.1786;215.4191;585.5771;-360.4672;609.3011
461.6217;53.5156;4.3863;449.5795;167.3907;215.3521;588.6983;-359.2055;609.6520
461.6217;51.3506;5.5786;449.7510;167.6659;215.3256;592.5832;-357.8378;609.7892
463.2307;49.4209;7.0827;449.9641;168.0578;215.3256;596.9598;-356.4579;609.8688
465.2273;47.2591;8.8934;450.3522;168.4659;215.3256;602.4568;-353.9012;610.9089
467.6058;45.0160;10.8521;450.8864;168.9339;215.3865;608.4567;-351.0632;612.1649
470.2766;42.5019;13.0951;451.6152;169.4408;215.5273;614.7317;-347.9231;613.5451
474.2353;41.0888;15.0453;452.6134;169.9419;215.7414;621.1646;-344.4177;615.3448
477.9088;38.7637;17.6250;454.1915;170.1576;215.7769;627.5569;-337.4027;622.3401
481.6620;35.5047;20.7243;455.9417;170.3719;216.0067;633.2964;-331.4364;628.0483
485.5438;31.5009;24.4772;457.8362;170.6023;216.3797;638.4728;-326.8350;632.1341
485.5438;27.1778;29.1841;459.9110;170.8025;216.8511;643.4844;-322.8068;635.7163
485.5438;22.5056;34.1448;462.1537;170.8025;217.3882;648.4798;-318.6742;639.6028
NaN;NaN;NaN;464.5530;170.8025;218.0300;653.6278;-313.9988;644.2111
NaN;NaN;NaN;467.1658;170.6188;218.7437;658.5423;-308.3731;650.1141
NaN;NaN;NaN;469.9942;170.1549;219.5806;663.0725;-302.1725;656.9385
NaN;NaN;NaN;473.0334;169.4298;220.5533;667.3167;-295.7958;664.2912
NaN;NaN;NaN;476.2921;168.4528;221.6362;670.7793;-289.0903;672.4594
NaN;NaN;NaN;479.7112;167.1925;222.8233;673.7029;-282.2199;681.1279
NaN;NaN;NaN;483.2759;165.6628;224.1190;675.9183;-275.5991;689.7406
423.0216;-505.0471;315.7107;486.8148;163.8556;225.5035;679.3009;-270.1074;697.1788
478.8960;-284.9097;231.2843;490.5219;161.8045;227.0123;683.0965;-264.3928;704.9333
534.7703;-64.7724;146.8580;494.3758;159.4637;228.5922;685.9929;-257.7896;713.9786
548.5230;-60.1668;146.8580;498.3822;156.8005;230.2931;687.0139;-250.5296;724.0934
555.1832;-60.1668;146.8580;502.5239;153.8802;232.1459;687.0139;-242.5310;735.1685
560.8421;-60.1668;155.6877;506.9585;150.5535;234.0799;687.0139;-232.2948;749.0740
566.5010;-67.1160;165.3702;511.3206;147.2877;236.4151;686.1599;-224.3320;760.1865
572.3321;-75.1741;176.6353;515.6464;143.7969;238.8566;686.0653;-217.8064;769.8720
577.4013;-82.3228;188.1379;520.0610;140.1121;241.3669;685.7851;-210.8897;780.2559
582.0327;-88.9590;200.2300;524.4975;136.1608;243.9991;683.8906;-203.1854;791.4386
586.3708;-95.2460;212.7950;528.9997;132.0860;246.8308;681.0503;-194.6167;803.3156
