RWJC_x;RWJC_y;RWJC_z
0.0000;0.0000;0.0000
0.0012;-0.0019;0.0035
0.0098;-0.0154;0.0277
0.0328;-0.0513;0.0924
0.0767;-0.1200;0.2163
0.1479;-0.2315;0.4172
0.2523;-0.3949;0.7117
0.3955;-0.6191;1.1158
0.5827;-0.9122;1.6441
0.8190;-1.2820;2.3105
1.1088;-1.7357;3.1282
1.4564;-2.2799;4.1090
1.8659;-2.9209;5.2643
2.3409;-3.6644;6.6043
2.8847;-4.5157;8.1385
3.5004;-5.4795;9.8755
4.1907;-6.5602;11.8233
4.9583;-7.7617;13.9887
5.8052;-9.0875;16.3781
6.7335;-10.5406;18.9970
7.7447;-12.1237;21.8502
8.8405;-13.8389;24.9415
10.0218;-15.6882;28.2745
11.2898;-17.6731;31.8517
12.6450;-19.7945;35.6751
14.0879;-22.0532;39.7459
15.6187;-24.4496;44.0649
17.2375;-26.9837;48.6321
18.9441;-29.6552;53.4469
20.7381;-32.4635;58.5082
22.6188;-35.4076;63.8143
24.5855;-38.4863;69.3628
26.6372;-41.6979;75.1511
28.7726;-45.0408;81.1759
30.9905;-48.5127;87.4332
33.2893;-52.1113;93.9188
35.6674;-55.8339;100.6280
38.1228;-59.6777;107.5555
40.6537;-63.6395;114.6958
43.2578;-67.7160;122.0428
45.9329;-71.9036;129.5900
48.6766;-76.1985;137.3307
51.4863;-80.5969;145.2577
54.3593;-85.0944;153.3634
57.2930;-89.6868;161.6402
60.2844;-94.3695;170.0797
63.3305;-99.1379;178.6737
66.4283;-103.9871;187.4133
69.5745;-108.9122;196.2897
72.7659;-113.9082;205.2937
75.9993;-118.9696;214.4159
79.2711;-124.0913;223.6466
82.5779;-129.2679;232.9762
85.9162;-134.4937;242.3945
89.2824;-139.7632;251.8916
92.6729;-145.0707;261.4572
96.0840;-150.4105;271.0809
99.5121;-155.7767;280.7524
102.9533;-161.1636;290.4610
106.4039;-166.5652;300.1962
109.8602;-171.9757;309.9475
113.3184;-177.3892;319.7040
116.7747;-182.7997;329.4552
120.2253;-188.2014;339.1905
123.6665;-193.5882;348.8991
127.0946;-198.9545;358.5705
130.5057;-204.2942;368.1943
133.8962;-209.6017;377.7598
137.2624;-214.8712;387.2569
140.6007;-220.0971;396.6753
143.9075;-225.2736;406.0048
147.1793;-230.3953;415.2355
150.4127;-235.4568;424.3577
153.6041;-240.4527;433.3617
156.7504;-245.3778;442.2381
159.8481;-250.2270;450.9778
162.8942;-254.9954;459.5717
165.8856;-259.6782;468.0113
168.8193;-264.2705;476.2880
171.6923;-268.7681;484.3938
174.5020;-273.1664;492.3208
177.2457;-277.4613;500.0615
179.9208;-281.6490;507.6087
182.5249;-285.7255;514.9557
185.0558;-289.6873;522.0959
187.5112;-293.5311;529.0235
189.8893;-297.2537;535.7327
192.1881;-300.8522;542.2183
194.4060;-304.3241;548.4756
196.5414;-307.6670;554.5003
198.5931;-310.8787;560.2886
200.5598;-313.9573;565.8372
202.4405;-316.9014;571.1433
204.2345;-319.7097;576.2046
205.9411;-322.3812;581.0194
207.5599;-324.9153;585.5865
209.0907;-327.3117;589.9055
210.5336;-329.5705;593.9764
211.8888;-331.6919;597.7997
213.1568;-333.6767;601.3769
214.3381;-335.5260;604.7099
215.4339;-337.2413;607.8013
216.4451;-338.8244;610.6544
217.3734;-340.2775;613.2733
218.2203;-341.6032;615.6627
218.9879;-342.8047;617.8282
219.6782;-343.8855;619.7759
220.2939;-344.8493;621.5130
220.8377;-345.7005;623.0472
221.3127;-346.4440;624.3872
221.7222;-347.0850;625.5424
222.0698;-347.6293;626.5233
222.3596;-348.0829;627.3409
222.5959;-348.4527;628.0074
222.7831;-348.7459;628.5357
222.9263;-348.9700;628.9397
223.0307;-349.1335;629.2343
223.1019;-349.2449;629.4351
223.1458;-349.3137;629.5590
223.1688;-349.3495;629.6237
223.1774;-349.3630;629.6479
223.1786;-349.3649;629.6515
