LWJC_x;LWJC_y;LWJC_z
0.0000;0.0000;0.0000
-0.0814;0.0098;0.0992
-0.1476;0.0267;0.2084
-0.2095;0.0504;0.3225
-0.2612;0.0819;0.4419
-0.3112;0.1172;0.5634
-0.3608;0.1561;0.6874
-0.3990;0.2035;0.8156
-0.4443;0.2529;0.9423
-0.4864;0.3058;1.0715
-0.5255;0.3629;1.2035
-0.5541;0.4249;1.3387
-0.5854;0.4856;1.4743
-0.6129;0.5497;1.6105
-0.6289;0.6210;1.7489
-0.6484;0.6955;1.8864
-0.6457;0.7761;2.0310
-0.6562;0.8558;2.1730
-0.6626;0.9402;2.3177
-0.6506;1.0346;2.4687
-0.6437;1.1301;2.6190
-0.6374;1.2244;2.7724
-0.6230;1.3219;2.9310
-0.5880;1.4269;3.0974
-0.5680;1.5301;3.2638
-0.5460;1.6398;3.4311
-0.5230;1.7549;3.6038
-0.4932;1.8721;3.7841
-0.4624;1.9918;3.9691
-0.4456;2.1121;4.1551
-0.4213;2.2353;4.3466
-0.3842;2.3638;4.5477
-0.3597;2.4895;4.7499
-0.3182;2.6261;4.9639
-0.2721;2.7670;5.1850
-0.2306;2.9093;5.4093
-0.2053;3.0515;5.6331
-0.1495;3.2065;5.8698
-0.0934;3.3654;6.1149
-0.0436;3.5226;6.3635
-0.0019;3.6817;6.6153
0.0461;3.8460;6.8758
0.1001;4.0100;7.1425
0.1574;4.1789;7.4165
0.2212;4.3536;7.6992
0.3031;4.5387;7.9944
0.3501;4.7047;8.2841
0.4011;4.8736;8.5787
0.4745;5.0557;8.8848
0.5359;5.2346;9.1946
0.5847;5.4051;9.5074
0.6335;5.5772;9.8206
0.7104;5.7625;10.1459
0.7713;5.9384;10.4704
0.8307;6.1126;10.7958
0.9007;6.2971;11.1293
0.9732;6.4820;11.4662
1.0282;6.6569;11.7974
1.0812;6.8280;12.1269
1.1652;7.0198;12.4646
1.2226;7.1957;12.7966
1.2640;7.3633;13.1209
1.3290;7.5396;13.4437
1.3798;7.7109;13.7546
1.4435;7.8862;14.0594
1.4869;8.0462;14.3417
1.5716;8.2253;14.6079
1.6559;8.3969;14.8368
1.7622;8.5627;15.0188
1.9295;8.7264;15.1504
2.1677;8.8922;15.2151
2.4925;9.0482;15.1913
2.9025;9.1667;15.0493
3.4888;9.2904;14.7751
4.2329;9.3885;14.3312
5.1598;9.4530;13.6653
6.3164;9.4962;12.7247
7.7160;9.5087;11.4681
9.4100;9.5124;9.8408
11.4101;9.5089;7.8015
15.7888;15.5332;-1.1552
20.3256;21.7809;-10.4653
25.0146;28.2441;-20.1167
29.8498;34.9140;-30.0961
34.8241;41.7812;-40.3890
39.9304;48.8355;-50.9798
45.1609;56.0661;-61.8518
50.5074;63.4614;-72.9875
55.9613;71.0096;-84.3683
61.5135;78.6981;-95.9750
67.1548;86.5137;-107.7874
72.8757;94.4432;-119.7847
78.6661;102.4727;-131.9457
84.5160;110.5879;-144.2483
90.4150;118.7745;-156.6702
96.3527;127.0177;-169.1885
102.3183;135.3026;-181.7802
108.3011;143.6140;-194.4219
114.2902;151.9369;-207.0899
120.2749;160.2559;-219.7606
126.2440;168.5557;-232.4102
132.1869;176.8211;-245.0150
138.0925;185.0369;-257.5513
143.9502;193.1879;-269.9957
149.7494;201.2592;-282.3249
155.4794;209.2361;-294.5159
161.1300;217.1041;-306.5462
166.6911;224.8490;-318.3937
172.1528;232.4569;-330.0367
177.5055;239.9143;-341.4542
182.7399;247.2082;-352.6258
187.8471;254.3260;-363.5318
192.8185;261.2557;-374.1534
197.6459;267.9856;-384.4727
202.3216;274.5051;-394.4725
206.8383;280.8037;-404.1367
211.1892;286.8720;-413.4505
215.3681;292.7012;-422.3999
219.3693;298.2833;-430.9724
223.1878;303.6110;-439.1566
226.8191;308.6781;-446.9427
230.2593;313.4793;-454.3219
233.5055;318.0101;-461.2874
236.5553;322.2672;-467.8336
239.4069;326.2482;-473.9567
242.0597;329.9518;-479.6546
244.5136;333.3782;-484.9269
246.7694;336.5283;-489.7753
248.8289;339.4046;-494.2030
250.6948;342.0106;-498.2156
252.3707;344.3515;-501.8206
253.8611;346.4335;-505.0276
255.1718;348.2645;-507.8483
256.3092;349.8536;-510.2970
257.2812;351.2118;-512.3900
258.0967;352.3512;-514.1463
258.7655;353.2859;-515.5872
259.2989;354.0313;-516.7366
259.7093;354.6049;-517.6211
260.0102;355.0255;-518.2698
260.2166;355.3139;-518.7148
260.3446;355.4929;-518.9909
260.4118;355.5869;-519.1359
260.4371;355.6223;-519.1905
260.4408;355.6274;-519.1984
