limit; number_test; number_train; euclid_test; euclid_training; mse_test; mse_training; mae_test; mae_training; accuracy_test; accuracy_training; model_number; data; epochs; batch_size; test_size; val_size; COST_FUNC
85;195;777;time-regression;0,02182;0,02182;0,01169;0,11406;0,08264;0,00513;0,01768;time-regression_0,02182,json;8_70_rotated;350;250;0,25;0,05;mse
85;117;777;time-regression;0,02542;0,02542;0,01428;0,12082;0,08876;0,01709;0,0147;time-regression_0,02542,json;8_70_rotated;150;250;0,15;0,05;mse
85;195;777;time-regression;0,02194;0,02194;0,01313;0,11889;0,08946;0,00513;0,01709;time-regression_0,02194,json;8_70_rotated;150;50;0,25;0,05;mse
85;195;777;time-regression;0,02006;0,02006;0,01442;0,10867;0,08942;0,00513;0,0171;time-regression_0,02006,json;8_70_rotated;150;250;0,25;0,05;mse
85;195;777;time-regression;0,01898;0,01898;0,02073;0,10994;0,09905;0,00513;0,01623;time-regression_0,01898,json;8_70_rotated;150;250;0,25;0,05;mse
85;78;777;time-regression;0,0265;0,0265;0,01493;0,12129;0,09121;0,01282;0,01435;time-regression_0,0265,json;8_70_rotated;150;250;0,1;0,1;mse
85;78;777;time-regression;0,02578;0,02578;0,01641;0,12001;0,09549;0,01282;0,0141;time-regression_0,02578,json;8_70_rotated;150;450;0,1;0,1;mse
85;78;777;time-regression;0,02763;0,02763;0,01417;0,1256;0,09132;0,01282;0,01364;time-regression_0,02763,json;8_70_rotated;50;50;0,1;0,05;mse
85;195;777;time-regression;0,18885;0,18885;0,01833;0,37545;0,10314;0,01026;0,0129;time-regression_0,18885,json;8_70_rotated;50;50;0,25;0,05;mse
85;78;777;time-regression;0,0346;0,0346;0,01473;0,14291;0,0939;0,01282;0,01235;time-regression_0,0346,json;8_70_rotated;50;250;0,1;0,05;mse
85;195;777;time-regression;0,07521;0,07521;0,02188;0,23634;0,10593;0,01538;0,01254;time-regression_0,07521,json;8_70_rotated;50;250;0,25;0,05;mse
85;78;777;time-regression;0,05852;0,05852;0,0193;0,2044;0,10524;0,02564;0,01199;time-regression_0,05852,json;8_70_rotated;50;450;0,1;0,05;mse
85;195;777;time-regression;0,02323;0,02323;0,0305;0,12511;0,11691;0,00513;0,01261;time-regression_0,02323,json;8_70_rotated;50;450;0,25;0,05;mse
85;78;777;time-regression;0,02225;0,02225;0,01285;0,10985;0,08875;0,01282;0,01295;time-regression_0,02225,json;8_70_rotated;100;50;0,1;0,05;mse
85;195;777;time-regression;0,05591;0,05591;0,01447;0,20484;0,09312;0,02051;0,01317;time-regression_0,05591,json;8_70_rotated;100;50;0,25;0,05;mse
85;78;777;time-regression;0,13215;0,13215;0,0213;0,32186;0,10347;0,01282;0,01352;time-regression_0,13215,json;8_70_rotated;100;250;0,1;0,05;mse
85;195;777;time-regression;0,01529;0,01529;0,01946;0,09542;0,106;0,01538;0,01259;time-regression_0,01529,json;8_70_rotated;100;250;0,25;0,05;mse
85;78;777;time-regression;0,09851;0,09851;0,01425;0,27306;0,0909;0,05128;0,01276;time-regression_0,09851,json;8_70_rotated;100;450;0,1;0,05;mse
85;195;777;time-regression;0,03071;0,03071;0,03461;0,1417;0,14764;0,01538;0,01397;time-regression_0,03071,json;8_70_rotated;100;450;0,25;0,05;mse
85;78;777;time-regression;0,04338;0,04338;0,01199;0,168;0,0862;0,02564;0,01313;time-regression_0,04338,json;8_70_rotated;200;50;0,1;0,05;mse
85;195;777;time-regression;0,07372;0,07372;0,01399;0,22716;0,0928;0,01538;0,01207;time-regression_0,07372,json;8_70_rotated;200;50;0,25;0,05;mse
85;78;777;time-regression;0,05837;0,05837;0,01456;0,20613;0,08997;0,01282;0,01352;time-regression_0,05837,json;8_70_rotated;200;250;0,1;0,05;mse
