limit; number_test; number_train; euclid_test; euclid_training; mse_test; mse_training; mae_test; mae_training; accuracy_test; accuracy_training; model_number; data; epochs; batch_size; test_size; val_size; COST_FUNC
80;199;595;253,404;194,465;0,01619;0,00472;0,09762;0,04653;0,69347;0,89807;253,404_194,465,json;8_70_rotated;250;30;0,25;0,05;euclidean
85;191;570;239,872;199,083;0,01584;0,00505;0,10228;0,04765;0,65445;0,92355;239,872_199,083,json;8_70_rotated;250;30;0,25;0,05;euclidean
90;178;533;188,518;176,003;0,00921;0,00289;0,07984;0,03669;0,88764;0,90266;188,518_176,003,json;8_70_rotated;250;30;0,25;0,05;euclidean
80;199;595;239,995;234,871;0,02155;0,00455;0,12422;0,04707;0,49246;0,91685;239,995_234,871,json;8_80_rotated;250;30;0,25;0,05;euclidean
85;191;570;156,342;109,699;0,01263;0,0042;0,08088;0,04341;0,7801;0,88119;156,342_109,699,json;8_80_rotated;250;30;0,25;0,05;euclidean
90;178;533;233,843;200,33;0,01729;0,00261;0,11521;0,03536;0,66292;0,87865;233,843_200,33,json;8_80_rotated;250;30;0,25;0,05;euclidean
80;199;595;396,706;194,996;0,03232;0,00536;0,14894;0,04744;0,72362;0,9323;396,706_194,996,json;8_70_rotated;250;150;0,25;0,05;euclidean
85;191;570;225,44;223,106;0,01463;0,00634;0,09765;0,04843;0,75393;0,91792;225,44_223,106,json;8_70_rotated;250;150;0,25;0,05;euclidean
90;178;533;192,497;203,187;0,01178;0,00499;0,08413;0,04317;0,79213;0,93268;192,497_203,187,json;8_70_rotated;250;150;0,25;0,05;euclidean
80;199;595;224,219;146,106;0,01563;0,00734;0,10197;0,05638;0,74372;0,86476;224,219_146,106,json;8_80_rotated;250;150;0,25;0,05;euclidean
85;191;570;194,701;195,091;0,01291;0,00597;0,08497;0,04605;0,82199;0,88368;194,701_195,091,json;8_80_rotated;250;150;0,25;0,05;euclidean
90;178;533;227,802;277,76;0,02351;0,00471;0,13543;0,04314;0,65169;0,87326;227,802_277,76,json;8_80_rotated;250;150;0,25;0,05;euclidean
80;199;595;220,193;178,854;0,0173;0,00633;0,09933;0,05065;0,61809;0,92182;220,193_178,854,json;8_70_rotated;250;250;0,25;0,05;euclidean
85;191;570;241,545;246,432;0,01558;0,00725;0,11067;0,05176;0,83246;0,8794;241,545_246,432,json;8_70_rotated;250;250;0,25;0,05;euclidean
90;178;533;219,834;171,818;0,01495;0,00963;0,09892;0,06027;0,76404;0,88018;219,834_171,818,json;8_70_rotated;250;250;0,25;0,05;euclidean
